"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Anolis_krugi","Anolis_krugi",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32735893438633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anolis_limifrons","Anolis_limifrons",92,1,NA,-0.111842990735333,-0.139740785394319,-0.0772541552379178,0.093845734767291,0.209740746732908,0.146941746102333,-0.000801944586263925,-0.0828114864706653,-0.127772736742515,-0.262280051044171,-0.439133710253393,-0.431919079749073,0.0286193564451349,0.277751297400984,0.194260722068228,0.277003452663153,0.0761975164184157,-0.0493248716359849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anolis_lineatopus","Anolis_lineatopus",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033908702256372,0.033908702256372,0.033908702256372,0.0339087022563719,0.033908702256372,0.0339087022563719,0.033908702256372,-0.082405124322996,-0.0824051243229961,0,0,0.114239664257685,0.114239664257685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anolis_polylepis","Anolis_polylepis",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00594933251320118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anolis_sagrei","Anolis_sagrei",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0231735507959561,0.0231735507959562,0.0231735507959562,0.023173550795956,0.0231735507959562,0.0231735507959562,0.0231735507959561,-0.102624743898447,-0.102624743898447,0.0448053871332785,0.0448053871332785,-0.0738013606221218,-0.0738013606221219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anolis_stratulus","Anolis_stratulus",5,1,NA,NA,NA,NA,NA,NA,NA,-0.0572663249652183,-0.0572663249652183,-0.0572663249652184,-0.0572663249652183,0.0681516447778584,0.0681516447778585,0.0681516447778585,0.0681516447778586,0.0681516447778585,0.0681516447778584,0.0681516447778586,0.0681516447778584,-0.210953322282532,-0.0572663249652184,-0.0572663249652183,-0.0572663249652184,-0.0572663249652184,-0.0572663249652183,-0.0572663249652184,-0.0572663249652184,-0.0572663249652183,-0.0572663249652184,-0.0572663249652184,-0.0572663249652183,-0.0572663249652184,-0.0572663249652184,-0.0572663249652183,-0.0572663249652183,-0.0572663249652184,-0.0572663249652181,-0.0572663249652184,-0.0572663249652183,-0.0572663249652183,-0.0572663249652186,-0.0572663249652183,NA,NA,NA,NA
"Antaresia_childreni","Antaresia_childreni",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.448314793760994,-0.321966225183453,-0.138019893296126,0.00984656012688245,0.0923422199014421,0.122112097496519,0.153661550499679,0.16189958042347,0.070673563723775,-0.110237684003139,-0.254573219249283,NA,NA,NA,NA,NA,NA,NA
"Arizona_elegans","Arizona_elegans",11,1,NA,NA,NA,NA,NA,NA,NA,NA,0.522878745280338,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289988,-0.0188143747289987,-0.0188143747289989,-0.0188143747289987,-0.349485002168009,-0.349485002168009,NA,NA,NA,0,0,1,0,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspidoscelis_tigris","Aspidoscelis_tigris",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200502720463461,NA,NA,NA,NA,NA,NA
"Bitis_gabonica","Bitis_gabonica",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0380978051409966,0.025949490216846,-0.00581992561696798,-0.0584980862645483,-0.11994605241577,-0.167990003126046,-0.182379481279947,-0.156731777175299,-0.10158877635272,-0.0372255353562189,0.0174431474023051,0.05229068089125,0.0671129585870834,NA,NA,NA,NA,NA,NA,NA,NA
