"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 1.01509710902943 0.895422815151705 1.21365106473822
"1972" 1.0396867347962 0.886608912594726 1.29876475136207
"1973" 1.02902064574148 0.844378062752715 1.40752181608815
"1974" 1.04633849926696 0.824276972325437 1.40563076553586
"1975" 1.08666128228372 0.83961162245928 1.42506734305019
"1976" 1.14189255900057 0.885048237006866 1.53053117986977
"1977" 1.18599071915319 0.912174284790621 1.65561989664996
"1978" 1.26206482966835 1.00624846357435 1.83795659585247
"1979" 1.17225457235798 0.872885584798001 1.75643896411655
"1980" 1.08112143327718 0.738545007020423 1.63848354658557
"1981" 1.14628109566075 0.788190533600653 1.6982778130485
"1982" 1.22773288212955 0.834852006520773 1.81525929742355
"1983" 1.28297314144017 0.84965846013559 1.91595129974548
"1984" 1.30859882528441 0.877120031869248 1.97042491816154
"1985" 1.30389822460522 0.850590971167638 2.00201140324122
"1986" 1.37113275376113 0.8854238194303 2.09634660599227
"1987" 1.78290962029557 1.06292348235983 2.95169756754557
"1988" 1.94351860622641 0.905496716921324 4.07979872543095
"1989" 2.37556059754526 1.19376869302652 4.76713880558864
"1990" 2.57088360967302 1.21477363925572 5.74094817355469
"1991" 2.50348606416057 1.17505057685954 5.56464382588211
"1992" 2.74464952987223 1.24979064962221 6.13024444138229
"1993" 2.98837405572938 1.36684985708464 6.76034328596443
"1994" 2.93236726089361 1.45148297989002 7.6699304420841
"1995" 3.13801981657591 1.55728608874796 8.18259043705561
"1996" 3.45874489849693 1.74391165547022 9.5026157836079
"1997" 3.81903232499649 1.83907515786205 10.4387680473279
"1998" 4.00513694067086 1.99751161677509 10.5978047091979
"1999" 4.319632060249 2.10447983404057 11.3675717391496
"2000" 4.85165203028956 2.23066012245738 12.6840659044112
"2001" 4.88933564332864 2.07833172940596 12.4872726115591
"2002" 5.52810567170363 2.45708285243998 15.3775025090264
"2003" 5.92934571508584 2.50823011947231 15.9304738913875
"2004" 6.94047449012666 2.77626051703119 17.4478488019055
"2005" 6.4289623304199 2.31588519428194 19.2777675857586
"2006" 7.14287874283173 2.53767044654715 19.8792373587562
"2007" 7.79217078801728 2.60436144471184 22.8798074216978
"2008" 6.51316577103437 2.43218220646843 20.3696024939443
"2009" 4.84575693384416 1.66292184758969 16.4977202105121
"2010" 8.21197141326143 2.10451042704695 34.0470244194516
"2011" 8.71847101359372 2.10974265395115 39.3382969247289
"2012" 10.0141203163942 2.36750680730942 45.6900977865369
"2013" -99 NA NA
"2014" -99 NA NA
"2015" -99 NA NA
"2016" -99 NA NA
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
