Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Oncorhynchus_nerka,1,-0.0429869888638052,0.00101229005626451,0.0242210569202712,-0.0213790706494,-0.0723094963639215,-0.0168366409154477,0.0365636914420853,0.080334248808204,-0.0129775071289252,-0.0104227437149965,0.032776276377339,0.0736733315812935,-0.0198296809788197,-0.0141542650142447,0.0236657699905925,0.0420567855129193,-0.0201174856167741,-0.0332653435754717,-0.0106106188685093,0.0479281199948513,0.0199764843571585,-0.00923447936156803,0.00765002459147949,-0.018086649188318,0.0313188889729187,-0.029514291773333,-0.0488793258443701,0.0105134265907263,0.00453263190935652,-0.0264084535261501,0.0228531962908631,0.0136357824371306,0.0463321449572685,-0.120255803901897,-0.0130216675373959,0.0578231263458419,-0.0250787986590663,-0.0611120143694432,0.131354934413801,0.0173054954293475,-0.0510485853879759,0.0591921357754329,-0.116086042078117,0.144940938423863,0.282389886339173,0.335011215123687,0.360300936899486,NA,NA
Salmo_salar,1,0.0288291580504572,0.0290439618222652,0.0253494786202648,0.0204488614965971,0.0140075967262793,0.00809156156582962,0.00534855111769028,0.0058442769132015,0.00643321275140187,0.00367455074743012,0.00662344857487194,-0.00777351568215139,0.0330366740769995,0.0201065233664772,0.0292440587794028,0.00891274862849889,0.00039722716307411,0.0070526646349895,0.0194092672323316,0.0185041917130644,0.00360092500505251,-0.016538476593438,-0.0378821113099604,0.00135791297651319,0.00884822464779303,0.037975188549575,0.0272845804132024,0.00313967236317209,-0.0170471421456975,-0.0198734127128363,-0.00882335037048855,0.00334806710784767,0.00493128991360238,0.0040677510764673,0.00191490038872454,0.00178149846129763,-0.0215053971725974,0.040212672336241,-0.0116601297106926,0.036050755356856,-0.0894263480866839,-0.0929023994865928,-0.0909000177481896,-0.327120801029851,-0.325673640906208,-0.144234326741431,-0.0898500554589293,0.00253257056474376,NA
Oncorhynchus_gorbuscha,1,0.0293259802521084,-0.00438847164685908,-0.0206607670679532,-0.010887200918232,-0.00426475836272974,-0.00809913517578884,0.00404015586017726,-0.00726359372334708,-0.00388132661377261,0.0408045026909381,0.043960344619339,0.0446534208987609,0.0487631227337768,-0.0243559893500374,0.0893321729058393,0.0109040997002431,0.00896595217225614,0.0156872464420219,0.0203726252779684,0.023762426804766,0.0211159548776631,-0.00904525839128495,-0.0368305495456462,-0.012593378066914,-0.0184622582359452,-0.105847539340516,-0.106468023722146,-0.0226601226416608,-0.00654481273898447,-0.0367179662032428,-0.00464521693020733,0.0701202164240137,0.128560790166994,0.0737151749842793,0.122479664400244,-0.0509709232079518,-0.07950584083581,-0.0442124545126293,-0.0491113144012096,-0.0889321482208883,-0.0820940067388542,0.0153062010717708,0.0233934494492526,0.0334792862156371,0.152370816001465,0.17972308723213,0.19351238791926,NA,NA
Oncorhynchus_tshawytscha,1,0.0247303270277075,-0.0865158380027895,-0.109070599373737,-0.0682056764867476,-0.026248322495484,-0.0118872087305575,-0.00494863930873856,0.00636687305202089,0.0120118942460491,0.000513625439867933,-0.0185717008760629,-0.0568192530017591,0.000736014759715751,0.0180993304382467,0.00919084846979568,0.00284786151859098,-0.0252603672511462,0.00946620014737144,-0.0221244078195416,-0.014412113240084,-0.0308926741914587,-0.000860113327261025,0.00138710734862492,0.0293384990336146,0.0264779651686871,-0.00483280179420159,0.012801700136431,-0.041291888543294,-0.0471859573385953,-0.011606828997144,0.023887990775054,0.0403062110239195,0.0508802664577061,0.0258302396217922,-0.0215850962948487,-0.0623986671200919,-0.0871551225252677,-0.0905837048663404,-0.0385647193879369,-0.0372061162622805,-0.0316204874734597,-0.016644197461507,-0.000927376307111957,0.0181588611812655,0.0324404662951677,0.0366179171309733,0.0375364369824848,0.0197710235487229,-0.0184818899618011
Coregonus_artedi,1,-0.201561687567688,-0.0675012941003813,-0.0193899088409065,0.0124222434719663,0.118992569148678,-0.0361949744972347,0.056068274273863,0.0204633615681064,-0.0468751180154514,0.0166436527244911,-0.189056236220049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.055070573995089,-0.050725195489854,-0.0368317863257887,-0.0239984620708086,-0.0352417894839414,-0.075229624101872,-0.120479669147834,-0.148173357794345,-0.157006539034866,-0.149824236705866,-0.128557136594064,-0.245740546523969,0.204970314025829,-0.0264136147750528,0.077213650444291,0.109909403321928,0.129249262638687,0.0960948836952322,0.0155687657445731,-0.0451892650541695,-0.0108531948014221,0.0900082536997249,0.171959837195989,0.175265616441457,0.124986773915507,0.0826974766693255,NA
Salvelinus_namaycush,1,0.0590297545539686,0.0304179141669846,-0.00678493298770472,-0.018676478079276,0.00109676907120193,0.021172652544204,0.0191114585555904,0.009376240172835,0.00905758026510178,0.00362692259717984,-0.024803044085893,-0.0539570463761391,-0.0433860778630936,0.00352339132090046,0.0355946424024908,0.0204228978731759,-0.01534498158038,-0.0280560575715734,0.000225118315519894,0.00466396240551248,-0.00514828474254392,-0.0205039373833303,-0.0486737543334702,-0.0952099315202988,-0.11008354695132,-0.129747799241865,-0.149945391489402,-0.166455058225207,-0.17460546091769,-0.169348605174219,-0.148431399200064,-0.116196014412282,-0.0821911141682634,-0.0537731606133845,-0.0305614268140598,-0.00830688123060286,0.0122255362070454,0.0241874269217867,0.0248812728476643,0.0235569533669885,0.0226104527405013,0.0385618802464752,0.0192696800128759,0.0492232612460155,0.0181004362692272,-0.00925866409317118,-0.0191170304762883,-0.0177981372838854,NA
Perca_flavescens,1,0.237019630411144,0.392325539225366,0.14505870607,-0.169884531306772,0.0125472280045283,-0.0716419035203699,0.260681594145846,-0.148971474060063,-0.234526712990653,-0.0537534197930842,0.108377096235101,0.00390704439782134,-0.177175480147684,0.0473323271780329,0.0366635813299025,-0.0494417619340803,-0.0431122697850329,0.0201467948217087,0.025869679160013,-0.0472949775244144,-0.0454016756068382,-0.0397060708468665,-0.0280174431241145,-0.00920663868934154,0.00504233255263409,0.0226534747197399,0.0318044437684465,0.0276108919914079,0.0188712893126192,0.0166001931230211,0.0205191276988946,-0.00757484529389793,-0.0110127883428823,0.0137455145048645,0.010683341233176,0.082033556316168,0.111367106771528,0.0533860512700622,0.00869430704867158,0.0112687846731331,-0.0717414374126504,-0.0730935126027737,-0.0250941393717498,-0.0017351841255918,-0.0410109963091267,-0.0588000781858864,-0.0503522742249824,-0.0546772070440242,NA
Coregonus_clupeaformis,1,0.00693432575633002,-0.0296662045367458,-0.0407750205294251,-0.0410281714632071,-0.00682106935469636,0.0133279652285336,0.0244040069641764,0.00197216222596233,0.0232263180129444,0.0359943447557382,0.0234576574460369,0.0933530613513963,0.0896901564594073,0.126446486207451,0.164037968732365,0.150683537433008,0.0868323431675262,-0.0287043663320938,NA,0.0319175910898984,0.0319175910898984,0.0319175910898984,-0.0524058844369757,-0.0529611553147223,-0.0544125015977776,-0.0573865838177981,-0.0626625023673961,0.0304170780852552,-0.134135978812984,-0.110448361419983,-0.105282969385613,-0.0938324518768248,-0.0805151882064814,-0.0822608649837964,0.0534988666092888,-0.0357680669106813,0.0545713950744644,0.0512743603518324,-0.0154124144621569,-0.0449281993266216,0.0299801209322986,-0.00483250136221895,-0.0670069652000315,-0.0731078697059169,-0.0737372541708858,-0.06908830871078,-0.0627703610200097,-0.0588149339715095,NA
Alosa_pseudoharengus,1,0.131887446947505,0.12317859954094,0.0191087053461516,-0.0708359259386374,-0.0795892139975936,-0.0460925415654988,-0.0346083432778357,-0.0422814674864901,0.0414386862046263,0.0641914745027301,0.0538675322585369,3.09666896029182e-05,-0.042010693181463,-0.00953431776589516,0.0740211505241727,0.178094237423206,0.144964988711344,0.0834441936715137,-0.00694104092268333,-0.00694104092268311,-0.00694104092268355,-0.00694104092268333,-0.108408772746554,-0.0496961103502488,-0.0136880108565921,-0.0225477538343811,0.00624298515180621,0.0678849070776397,0.0585605140597075,-0.0756128642910179,-0.199958991433568,-0.161576249322376,0.0189842066993003,0.117008140413004,0.122420005454152,0.0837842359161067,0.047494323215502,0.0147562338873633,0.0335465147541735,0.0397098805715529,0.152468553654691,0.0577766395091898,-0.227380972262456,-0.142384707170531,0.176694614759748,0.24291922304939,-0.0598643379344139,-0.292376763027387,NA
Anguilla_rostrata,1,0.00928998477790794,0.0425234925458636,-0.0265364719967527,-0.0573010887917819,0.0308869714866463,-0.0155058113783117,-0.0578478594510765,-0.0748806365474193,-0.0888782736627714,0.00637922276599414,0.0423218097036599,0.0410588423605912,0.00750547205444427,-0.0349773065366084,-0.0673293789694296,-0.0695182548715991,-0.0682298855967017,-0.0586811414201729,-0.0505835269483961,-0.046727260804644,-0.0390588755323381,-0.00555227684072564,0.00449950446250961,0.00847210224197587,-0.0307736686400826,-0.0843821601744846,-0.110042495767368,-0.105493849998964,-0.103900428009904,-0.092158623105216,-0.0838292307740499,-0.125837195821204,-0.0767447883735719,-0.0568059268940388,0.0406043940773062,0.00489719759311443,0.0145069674702506,0.0230484991233009,-0.0165901166535451,0.0235455627138502,0.0432984246826823,-0.0676612966324077,0.491650880435089,-0.165428993116292,-0.328251172608102,-0.182977830625978,-0.0224396003888891,0.114090961929802,NA
