"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Aptenodytes_forsteri","Aptenodytes_forsteri",170,1,-0.0232437658502729,-0.0256569844750015,-0.0286755257999971,-0.0321274440616416,-0.0354208628890678,-0.0378773294801249,-0.0391831610932911,-0.0394279262312428,-0.0241242149865994,-0.0228792492665378,-0.0110520257149954,-0.00898247961721204,-0.00677344409861034,0.0158327296042837,0.0166758939795661,0.017405203033565,0.0179113736447385,0.0181468088984067,0.0163973466585848,0.015015097391874,0.00906375984192015,0.00880088715440561,-0.0168204685993576,0.0117293016090021,-0.0582183059136258,0.0877226823399566,-0.00383489253640579,0.0147362251929015,-0.019065060798866,0.0164073636666858,-0.232657454836207,0.172568355668399,-0.0426666772116006,0.0209842433780037,-0.0966806175683579,0.0804487267486635,-0.192579999311523,0.108725678547788,-0.179299183958101,-0.1792991839581,0.375462143159124,NA,NA,NA,NA,NA,NA
"Aptenodytes_patagonicus","Aptenodytes_patagonicus",110,1,0.0359702912462986,0.0366161641350381,0.0371802004568136,0.0376623881555779,0.038062747633849,0.0383812616464589,0.0490212710702741,0.0491761053281571,0.0388632390472511,0.0287075904912459,0.0237243458751828,0.0535734852479111,0.0531407224626745,0.05249084819038,0.0516238624310287,0.0505397651846198,-0.0371265446637849,0.195988560527459,0.0948908252569953,0.243000100641335,0.0279860297887284,0.0274033205191535,0.0271733385918231,0.115469148318104,0.0112605449015735,0.0117160085431223,0.0197208612232826,-0.0199992707488765,0.0129638763626529,0.0136406667575832,-0.031859592370439,0.0505137630682476,0.0507622009315694,-0.00778748447155486,-0.00778748447155531,-0.00778748447155531,-0.00778748447155486,-0.00778748447155531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna_tenuirostris","Ardenna_tenuirostris",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.825952483454305,-0.911362512957933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arenaria_interpres","Arenaria_interpres",71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0128324964051183,0.00426185908361942,0.0040392649641563,0.00346826855274962,0.00229725724501173,0.00038163622489984,-0.00224105298789845,-0.00541838085782986,-0.00902390875090275,-0.0130296269378739,-0.0174287297079134,-0.0220838069202591,-0.026679542686214,-0.0276787022511045,-0.029485580474819,-0.0305296111315698,-0.0312906770469875,-0.0321270521058067,-0.0331259087763,-0.0342429915704436,-0.0354592646125071,-0.0367595416936528,-0.0565701450363262,-0.0577843473123404,-0.058440162473349,-0.0589093044532982,-0.059499598511693,-0.0602223707066789,-0.0608536027499431,-0.0611866411361314,NA,NA,NA,NA,NA,NA
"Calidris_acuminata","Calidris_acuminata",83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171200247851723,-0.110520259373675,-0.0991459818813802,-0.07384129347863,-0.040023390412444,-0.0105686788968812,0.0217467838959154,0.0224595670288904,0.0148976742458297,0.00238765864700545,-0.0153010079184999,-0.0357969454634508,-0.0524449010811215,-0.0588002035214782,-0.0584675969043495,-0.0554764382523464,-0.0515506330089822,-0.0449725855268487,-0.0329209431205428,-0.0754555584171078,0.136593654590968,-0.0521877534255694,0.0619559026281658,0.144228934967616,0.220516447755133,-0.284574295431243,0.0525689928031812,-0.0825661326080102,-0.127271359316484,-0.150920725053932,NA,NA,NA,NA,NA,NA
"Calidris_alba","Calidris_alba",42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914937270510222,-0.0425728561909995,-0.0425728561909948,-0.0425728561909838,-0.0425728561909653,-0.0425728561909442,0.0138628452689828,0.013862845268991,0.0138628452689916,0.0138628452689844,0.0138628452689719,0.0138628452689603,0.0138628452689591,0.0138628452689715,0.0138628452689925,0.0138628452690138,0.0138628452690317,0.0138628452690461,0.0138628452690611,-0.487123402129034,-0.356764291241885,0.505373643558536,0.0745249926417076,0.082165602587512,-0.0611372360128467,-0.494626356441353,0.461949300058585,0.0107472871173595,0.010747287117375,0.0107472871173808,NA,NA,NA,NA,NA,NA
"Calidris_canutus","Calidris_canutus",73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070199947028335,0.0402396034590765,0.0403882561222163,0.0376305199406403,0.0204183916347214,0.0123579000349696,0.00464287811474088,-0.000705613474845324,-0.00455045053776981,-0.0217623032963623,-0.0265924802813509,-0.016398112423496,-0.0206742491135016,-0.0206736645773867,-0.0196085878776677,-0.0180224053037093,-0.0597139683509301,0.00269353266399475,-0.00869767464534701,-0.111001645463658,-0.0214663821785014,-0.0981875199604585,-0.032886579538867,-0.189434750969867,-0.119112135973468,-0.0640554523285708,-0.0729342501359511,-0.072187220555793,-0.0655564768995431,-0.060051126319651,-0.0138325771249788,NA,NA,NA,NA,NA
"Calidris_ferruginea","Calidris_ferruginea",73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0643185958976915,0.0442839942163791,0.0233996342958035,-0.00653772716286912,-0.0287295841099859,-0.0321695465668874,-0.025248392191917,-0.00739756444745376,0.00496975085242853,0.0055586336696812,-0.00905729468507532,-0.0376195720671625,-0.0695246573711867,-0.087840503281313,-0.0824855582516877,-0.0593562180432611,-0.0336214633151348,-0.0165972525443083,-0.0127390423665637,-0.179298518509077,0.0687761629851598,-0.00114666849330325,-0.244655542252511,0.112592260542255,-0.116365046413007,0.0166893676880671,0.0554853321854756,-0.162420875615757,-0.236187959650818,-0.261405578830491,NA,NA,NA,NA,NA,NA
"Calidris_ruficollis","Calidris_ruficollis",82,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0290125431757431,-0.00406117859976055,0.0110393834346256,0.0101308001179697,-0.0207896867520561,-0.049291646472573,-0.0427284713419659,-0.0106523666970718,0.0038360541449333,-0.00637100674625287,-0.00871804132849293,0.0129037602884374,0.0292000727580607,0.0139492430690297,-0.0152177162435568,-0.0240513071261963,-0.00243737297164914,0.0229286891256851,0.0236482810151001,-0.0474046896099622,0.0799494932556973,-0.0207632357191975,-0.0916341195330566,-0.0117138447871249,0.0153109451321084,-0.0701520954263564,-0.0685016443824704,-0.00279249240732349,-0.0154753101752152,-0.022996203483894,NA,NA,NA,NA,NA,NA
"Catharacta_antarctica","Catharacta_antarctica",9,1,0.0101802826132644,0.010180282613264,0.0101802826132644,0.0101802826132644,0.0101802826132644,0.0101802826132644,0.010180282613264,0.0101802826132644,0.0101802826132644,0.0101802826132644,0.010180282613264,0.0101802826132644,0.0101802826132644,0.00166096253441239,0.00166096253441284,0.00166096253441239,0.00166096253441239,0.00166096253441239,0.00166096253441284,0.00166096253441239,0.00166096253441239,0.00166096253441239,0.00166096253441284,0.00166096253441239,0.00166096253441239,0.00166096253441239,0.00166096253441284,0.00166096253441239,0.00166096253441239,0.00166096253441284,0.00166096253441239,0.00166096253441239,0.00166096253441239,0.00166096253441284,0.00166096253441239,0.00166096253441239,0.00166096253441239,0.00166096253441284,0.00166096253441239,0.00166096253441239,0.00166096253441239,0.00166096253441284,0.00166096253441239,0.00166096253441239,NA,NA,NA
