population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
11374,1,-1,0.230054017353626,0.128297383213562,0.0253931266704004,-0.0125906623723031,-0.060918644684721,-0.212304202897347,-0.413937237206244,-0.521201881615417,-0.479567374249389,-0.358618355004316,-0.210682418077116,0.00093488512654416,0.288759585526221,0.53501625304188,0.580278260765775,0.398178133192293,0.122549493816132,-0.091343885824966,-0.181912062047537,-0.166688772258828,-0.0836244421483653,0.0202154846190767,0.0863807265643572,0.080801444373456,0.0249150421359384,-0.0340601239217697,-0.0747215208513725,-0.103636462600743,-0.122274696234431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11373,1,-1,-0.0370880277459209,-0.0378714916519867,-0.039315687289355,-0.0409847956649543,-0.0423077276352588,-0.0426157820350546,-0.0411133264249941,-0.0371947497611844,-0.031053341482808,-0.0238906975540338,-0.0172183268397061,-0.0117812455957087,-0.00724300118376142,-0.00297658750510177,0.00101979727835322,0.00417037020954547,0.00611885303835691,0.00711168998945899,0.00748895074000266,0.00709654101075219,0.00549292061884987,0.00264993625035292,-0.000818044516579075,-0.00414419351772177,-0.00692131646752614,-0.0090831484054501,-0.0106195725678826,-0.0115112910956843,-0.0118597788820327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17578,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00399428424636417,0.00399428424703285,0.00399428424799231,0.00399428424870441,0.00399428424896864,0.00399428424896808,0.0039942842489149,0.00399428424884207,0.00399428424873915,0.00399428424859305,0.00399428424848314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17577,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.090958041365817,-0.0909580413660461,-0.0909580413665007,-0.0909580413670998,-0.0909580413677342,-0.0909580413682817,-0.090958041368608,-0.0909580413686157,-0.0909580413683227,-0.0909580413679205,-0.0909580413676556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17575,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0187520095392369,0.0208312362231721,0.020992696964326,0.0150219967463655,0.00283968403208512,-0.011912057325971,-0.0257269151306364,-0.0373992583989313,-0.0467908511114788,-0.0536966321494386,-0.057289728606096,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7906,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0334477772959979,0.0334477772959979,0.0334477772959979,0.0334477772959979,0.0334477772959979,0.033447777295998,0.0334477772959979,0.0334477772959979,0.0334477772959979,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11372,1,-1,-0.109295194538544,-0.0551274053809326,0.0886118939990278,0.214993147688246,0.156278038667369,-0.0425074785921333,-0.170339870851489,-0.223519309031607,-0.437794252563385,-0.794110337811526,-0.81729429397795,-0.20186997652928,0.579172005315633,0.74285711784149,0.226679892083521,-0.224704528591289,-0.106348038042591,0.194820190860155,0.0877672483501851,-0.290144324110648,-0.319672055004064,0.118449611050011,0.469647612529352,0.345793570766401,0.0279055209296434,-0.0667764530966825,0.00651032428221826,-0.0355634535027055,-0.169037391916182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17582,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0370574232021016,-0.0354244628752504,-0.0279161190501885,-0.0105467408593301,0.0163975463725228,0.0452233261746128,0.0620019586761736,0.0548880571382181,0.0244431795515598,-0.0137111072598901,-0.0384533446360761,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17581,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.351915084103571,0.215887910034929,0.0340110451311499,-0.071448187429969,-0.0612591370744336,0.00549824796036313,0.0511297040225167,0.0426556896010618,-0.0153231648432164,-0.0805291242378993,-0.118560010332659,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17580,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0365307386238565,0.0365307386243475,0.0365307386252249,0.036530738626148,0.0365307386267209,0.0365307386267721,0.0365307386264992,0.03653073862627,0.036530738626185,0.0365307386262826,0.0365307386264163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
