Species,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Uta_stansburiana,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.469729764032726,-0.214652321792702,-1,1,0.212150309723486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173888347548155,NA,NA,NA,NA,NA,NA,NA,NA
Clemmys_guttata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104507916266128,0.094135820108294,0.0689714098929766,0.0165521736772365,0.0188341946414643,0.00146078039434183,-0.00187510637021449,0.00767252226235726,0.0224111046448581,0.0324478082496786,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_ignescens,1,-0.0607370113267469,-0.0607370113267467,-0.0607370113267467,-0.0607370113267467,-0.0607370113267467,-0.083113804973443,-0.0831138049734429,-0.0831138049734429,-0.0831138049734428,-0.083113804973443,-0.0831138049734428,-0.0831138049734429,-0.0831138049734429,-0.083113804973443,-0.0831138049734429,-0.083113804973443,-0.0831138049734428,-0.0831138049734429,-0.0831138049734429,-0.0831138049734428,-0.083113804973443,-0.0831138049734432,-0.0831138049734428,-0.0831138049734428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclura_pinguis,1,-0.0326605885715619,-0.032660588571562,-0.0326605885715621,-0.032660588571562,-0.032660588571562,-0.032660588571562,-0.032660588571562,-0.0326605885715619,-0.032660588571562,-0.0326605885715621,-0.0326605885715618,-0.032660588571562,-0.032660588571562,-0.0326605885715621,-0.032660588571562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiropterotriton_dimidiatus,1,0.0680599000044827,0.0680599000044825,0.0680599000044827,0.320479644965386,0.320479644965386,-0.182339614883821,-0.0215607218508411,-0.0215607218508411,-0.0215607218508411,-0.021560721850841,-0.021560721850841,-0.0215607218508411,-0.021560721850841,-0.0215607218508412,-0.021560721850841,-0.021560721850841,-0.0486024913077081,-0.0486024913077081,-0.0486024913077081,-0.0486024913077081,-0.048602491307708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiropterotriton_multidentatus,1,-0.187310932277183,-0.187310932277183,-0.187310932277183,-0.265767560920669,-0.265767560920669,0.204179700013448,0.0640959289930772,0.0640959289930772,0.0640959289930771,0.0640959289930773,0.0640959289930772,0.0640959289930772,0.0640959289930772,0.0640959289930773,0.0640959289930771,0.0640959289930773,-0.128191857986154,-0.128191857986154,-0.128191857986154,-0.128191857986154,-0.128191857986154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anolis_apletophallus,1,-0.00854317719279907,-0.00854317719279019,-0.00854317719277742,-0.00854317719275621,-0.00854317719272424,-0.00854317719268277,-0.00854317719263076,-0.00854317719257136,-0.00854317719250852,-0.00854317719245296,-0.00854317719240866,-0.0085431771923799,-0.00854317719236652,-0.00854317719236319,-0.00854317719236464,-0.00854317719237085,-0.00854317719238012,-0.00854317719239556,-0.00854317719241665,-0.00854317719244291,-0.00854317719247327,-0.00854317719250769,-0.00854317719254555,-0.00854317719258652,-0.00854317719263109,-0.00854317719267816,-0.00854317719272663,-0.00854317719277492,-0.00854317719282038,-0.0085431771928613,-0.00854317719289827,-0.00854317719292763,-0.008543177192947,-0.00854317719295572,NA,NA,NA,NA,NA,NA,NA,NA
Ambystoma_cingulatum,1,-0.0799625600647713,-0.0799625600647712,-0.0799625600647713,-0.0799625600647714,-0.0799625600647712,-0.0799625600647713,-0.0799625600647711,-0.0799625600647714,-0.0799625600647712,-0.129691875063941,-0.129691875063941,-0.129691875063941,-0.129691875063941,-0.129691875063941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anolis_limifrons,1,0.146941746102333,-0.000801944586263925,-0.0828114864706653,-0.127772736742515,-0.262280051044171,-0.439133710253393,-0.431919079749073,0.0286193564451349,0.277751297400984,0.194260722068228,0.277003452663153,0.0761975164184157,-0.0493248716359849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea_nigromaculata,1,0.120696664089201,0.120696664089201,0.120696664089201,0.120696664089201,0.120696664089201,0.120696664089201,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parvimolge_townsendi,1,-0.194431747023788,-0.194431747023788,-0.194431747023788,-0.194431747023788,-0.194431747023788,-0.194431747023788,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
