Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Monachus_monachus,1,0.00599264467548899,0.00599264467548855,0.00599264467548855,0.00599264467548855,0.00599264467548855,-0.0511414033754645,-0.0511414033754649,-0.0511414033754645,-0.0511414033754649,-0.0511414033754649,0.0557918953022072,0.0557918953022072,0.0557918953022067,0.0557918953022072,0.0557918953022072,-0.25733566566708,0.0193627449982179,0.0193627449982179,0.0193627449982179,0.0193627449982179,0.0193627449982179,0.0193627449982179,0.0193627449982179,0.0193627449982179,0.0158362492095252,0.0158362492095248,0.0158362492095252,0.0158362492095248,0.0158362492095248,-0.06246936830415,-0.06246936830415,0.0152524968535586,0.0152524968535586,0.0152524968535581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halichoerus_grypus,1,0.0584253764347816,0.0424914896875874,0.0293459449270692,0.0205334755391555,0.0261070196285535,0.0362254724390078,0.0396190754209063,0.0370026258127453,0.0352149890691437,0.0395968994813103,0.027843583692082,0.0088951699861235,-0.00515042624877774,-0.0106363548477995,0.0187799793260432,0.0246762192341172,0.0262146346608944,0.0181826007122347,0.0230060384299689,0.0212813914505784,0.0344858786834291,0.0409184441405546,0.0444395443562309,0.0355495956942225,0.0360086190283978,0.0168202540600202,0.00718804393673217,0.00762401855862278,0.0119223079109025,0.0186617325304601,0.0168915168707249,0.0542119025758327,0.0579252308257818,0.0277116292831841,0.0489749705411835,0.0499467118074075,0.016269164696077,0.0303845805805546,0.0256775779891475,0.147565951703863,-0.318023889089949,-0.260392654698123,0.0200629948091091,NA,NA,NA
Phoca_vitulina,1,-0.0281265524008264,-0.026938434412983,-0.0153278372723057,-0.00782964323635749,-0.0102674651325337,-0.0114667011392905,0.00124789212228782,0.0216777790433428,0.126991748657011,0.086588450548474,0.0567256199497455,0.0328635066460095,0.0361085487490429,0.0559847696825635,0.0333535666205811,0.030820988806066,-0.0200662667905519,-0.0478491822013201,-0.0198662548081555,0.000977757828246653,0.0116726536474653,0.0184272234340352,0.0220387902093214,0.00751087474568746,0.0161190077886245,0.0109795794822268,0.0166747913795672,0.0108698733518393,0.0232158149657455,-0.00416087481528635,-0.0756347290641849,-0.0258791903147502,0.0070194427693298,-0.00250034522370615,0.00913114977349358,-0.0297009130270711,-0.0412617376306349,-0.119470891124472,0.0700333339651867,0.0173768307199988,0.162905321970561,0.016671225352316,0.0130199735597847,NA,NA,NA
Pagophilus_groenlandicus,1,-0.0226435836129673,0.00813864812039178,0.0334085633011867,0.0344081735967068,0.0196005487397697,0.00980335638114305,0.0118614396795982,0.0167593008316249,0.000352326584076135,0.00707289872667216,0.0083616917798115,0.00764840242750608,0.00720910295743682,0.133216440163419,0.0308717030293737,-0.0706016123908877,-0.0759699470612403,0.0398712634347476,0.143120468873396,-0.138724883612365,0.0431498508277996,0.0185446906139806,0.0170588169802643,0.018444334285619,0.0225267359592115,0.0210490488936432,0.0177534699182491,0.0159283045740501,0.0161916411989885,0.00656098930374386,-0.245137171892724,0.00506676035161813,0.002374232743844,0.00259386554100827,-0.00109908495434219,-0.00681574962415432,-0.00508122462353899,0.00267883620386744,0.00911023593625426,NA,NA,NA,NA,NA,NA,NA
Physeter_catodon,1,0.0983186159839291,0.0983186159839295,-1,0.0291237501806674,0.0291237501806674,0.0291237501806676,0.0291237501806674,0.0291237501806674,0.0291237501806676,0.0291237501806674,0.0291237501806674,0.0291237501806676,0.0291237501806674,0.0291237501806674,0.0291237501806676,0.0291237501806674,0.0291237501806674,0.0291237501806676,0.0291237501806674,0.0291237501806676,0.0291237501806674,0.0291237501806674,0.0291237501806676,0.0291237501806672,0.0291237501806676,0.0291237501806676,0.0291237501806672,-0.0555173278498313,0.213879819945081,-0.277548899814458,0.101457640758777,0.0511525224473814,0.0737862141609185,-0.0280287236002432,0.0413926851582249,-0.12057393120585,0.225309281725863,-0.118099312077995,NA,NA,NA,NA,NA,NA,NA,NA
Phocoena_phocoena,1,0.0187394213286011,0.00878189021663306,0.0109179492596442,-0.00807519384568599,-0.0293872384072541,-0.0492399469724969,-0.0638705223633285,-0.071043437588608,0.0729908480278152,0.0682541013582243,0.060266791175025,0.051228891037109,0.0429215423717638,0.0364702191052667,0.0329685455525134,0.0333073306336638,0.0370281147297623,0.0421136526162559,0.0468064052005046,0.0515813052068514,0.114078004902744,0.164425200206962,0.087709378541505,0.229553671767026,0.0465205628730339,0.0868505869215671,0.112069516673838,0.0903461781206116,0.0884097830274046,0.107030644974755,0.102534757316452,0.251554122856366,0.027842865162637,-0.0213279431300886,0.0971933017629775,-0.0708906641892157,0.0550206153628539,0.0558487973971196,0.0587724525212305,0.21953999068794,-0.467485582310124,0.121697907671773,0.53427410542222,-0.458637849025649,NA,NA
Balaenoptera_physalus,1,-0.00702469350568835,-0.0070246935056885,-0.00702469350568835,-0.00702469350568835,-0.0070246935056885,-0.00702469350568835,-0.00702469350568835,-0.00702469350568835,-0.0070246935056885,-0.0070246935056885,-0.00702469350568835,-0.0070246935056885,-0.00702469350568835,-0.00702469350568835,-0.00702469350568835,NA,NA,NA,-0.127506651563976,-0.128185752511078,-0.0285734066888745,-0.0278599197469959,-0.0290671084466034,-0.0374841859889393,-0.0560622434498942,-0.0832960428210942,-0.113067544383942,-0.136683043221804,-0.146862771363883,-0.116308097979116,-0.547529504627159,-0.0322118774871811,-0.013771167191414,0.0103814049051905,0.0448620921073632,0.0749186333472931,0.100199218124054,0.12063111353644,0.135864458933682,0.572902227259165,-0.424720557851431,0.698970004336019,0.698970004336019,-0.740362689494244,NA,NA
Orcinus_orca,1,NA,NA,0.0322158312899535,0.0696139718244089,0.115166448146374,0.133939092719692,0.122401659412729,0.100676500978881,0.0777835036927894,0.0437571965635604,-0.00529016226943169,-0.0525783319585138,-0.0798647496487577,-0.0901089904067722,-0.0985827122512645,-0.106027831203172,-0.0944179825076454,-0.0524793419324804,0.00411351069225663,0.0440316944646121,0.0470645487815098,0.0600864650382024,0.0347055456509338,0.00865811633784319,-0.00819954093152697,-0.008216633591341,0.00701686352549968,0.0256288029190976,0.0357840446426015,0.0369227198433149,0.0382066713125849,-0.0459176754615216,0.00651262314146694,0.066006226005369,0.0658026958759658,0.0587140912656877,0.062242500135343,0.0312147286228173,-0.00743950556169426,-0.0459573187800739,-0.0727578557608124,-0.0840221649233264,NA,NA,NA,NA
Delphinapterus_leucas,1,NA,NA,NA,0.000298689653235762,0.000298689653236206,0.000298689653235762,0.000298689653235762,0.0139651179605722,0.013965117960572,0.0139651179605722,0.0139651179605722,0.013965117960572,-0.0170595826491033,-0.0170595826491033,0.168345968757334,-0.0507472161873839,-0.0507472161873839,-0.0507472161873843,0.046804808029431,0.0468048080294308,-0.0370274154948704,-0.0370274154948704,0.0395526960497714,0.0395526960497714,0.0395526960497716,-0.00546880237822456,-0.00546880237822456,-0.0343777923910511,-0.0343777923910511,-0.0343777923910511,0.0652497806947596,0.0652497806947601,NA,NA,NA,NA,NA,NA,NA,0.282452167862432,0.218093034936173,-0.926513935070886,0.720159303405957,0.26884531229258,NA,NA
Megaptera_novaeangliae,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.0647405913295191,0.109998854134744,0.0316779196085924,0.0821277143690859,-0.0387762764161661,0.0157538876023908,0.000142512827628671,-0.17668828588203,NA,0.192794046732903,0.154317554384399,0.0915295806786054,0.0241491388043424,-0.0371427363664802,-0.043472120320496,-0.0719231258489594,-0.00643041944274847,0.082613133693604,0.128818376100575,0.265181274324488,0.0172587277444778,-0.0455490437330217,0.0346519897067837,-0.262242818102393,-0.240655692329665,0.0570376091956437,0.0853044562261429,0.0985591732812918,0.0959521560444787,0.0882746382081145,NA,-0.782516055786094,0.605337701089198,-0.123851640967086,0.176091259055681,0,NA,NA
