Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Geochelone_gigantea,1,NA,NA,NA,NA,0.000391350532923518,0.000391350532923429,0.000391350532922985,0.000391350532923518,0.000391350532923251,0.000391350532923518,0.000391350532923074,0.000391350532923518,0.000391350532923163,0.000391350532923251,0.00039135053292334,0.000391350532923429,0.000391350532923163,0.000391350532923518,0.000391350532923163,0.000391350532923429,0.000391350532923163,0.000391350532923518,0.00039135053292334,0.000391350532923251,0.000391350532923163,0.000391350532923518,0.000391350532923251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiolopisma_telfairii,1,NA,NA,NA,NA,NA,0.0271900598490347,0.0271900598490344,0.0271900598490347,0.0614622821007237,0.061462282100724,0.0614622821007238,0.061462282100724,0.0181424297353818,0.018142429735382,0.018142429735382,0.018142429735382,0.018142429735382,0.0181424297353818,0.018142429735382,0.0540258001222831,0.0540258001222829,0.0540258001222829,0.0540258001222831,0.0540258001222831,0.0540258001222829,0.0540258001222829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gongylomorphus_bojerii,1,NA,NA,NA,NA,NA,0.0661419193834691,0.0661419193834689,0.0661419193834691,0.0211263618728215,0.0211263618728216,0.0211263618728215,0.0211263618728217,0.0416038816699227,0.0416038816699225,0.0416038816699227,0.0416038816699227,0.0416038816699225,0.0416038816699227,0.0416038816699227,0.0547190384937914,0.0547190384937912,0.0547190384937914,0.0547190384937912,0.0547190384937914,0.0547190384937914,0.0547190384937912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phelsuma_guentheri,1,NA,NA,NA,NA,NA,-0.0302778671937871,-0.0302778671937872,-0.0302778671937873,-0.0665787095822573,-0.0665787095822573,-0.0665787095822574,-0.0665787095822574,0.0504770136159006,0.0504770136159007,0.0504770136159007,0.0504770136159006,0.0504770136159007,0.0504770136159007,0.0504770136159006,0.0316926785166224,0.0316926785166223,0.0316926785166224,0.0316926785166224,0.0316926785166223,0.0316926785166223,0.0316926785166225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phelsuma_ornata,1,NA,NA,NA,NA,NA,-0.0282057949842918,-0.0282057949842918,-0.0282057949842918,-0.029935972794768,-0.0299359727947683,-0.0299359727947682,-0.029935972794768,0.022890472789751,0.0228904727897512,0.0228904727897512,0.0228904727897512,0.022890472789751,0.0228904727897512,0.0228904727897512,-0.0257556217542081,-0.0257556217542081,-0.0257556217542079,-0.0257556217542081,-0.0257556217542081,-0.0257556217542081,-0.0257556217542079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casarea_dussumieri,1,NA,NA,NA,NA,NA,-0.0295124898228225,-0.0295124898228225,-0.0295124898228224,0.130408586269623,0.130408586269623,0.130408586269622,0.130408586269623,0.0197528083560054,0.0197528083560054,0.0197528083560054,0.0197528083560055,0.0197528083560054,0.0197528083560054,0.0197528083560054,-0.00309013999587213,-0.00309013999587206,-0.00309013999587211,-0.00309013999587215,-0.00309013999587202,-0.00309013999587211,-0.00309013999587214,-0.0177845383807291,-0.0177845383807291,-0.0177845383807289,-0.0177845383807291,-0.0177845383807291,-0.0177845383807291,-0.0177845383807291,-0.0177845383807289,-0.0177845383807291,-0.0177845383807291,-0.0177845383807289,-0.0177845383807291,NA,NA,NA,NA,NA,NA,NA
Nactus_serpensinsula,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188888470676274,0.188888470676274,0.188888470676274,0.188888470676274,0.188888470676274,0.188888470676274,0.188888470676274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sechellophryne_gardineri,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0104630593641057,0.019622319145971,0.0302904589575324,0.0319365854003708,0.0201680289118475,-0.00100328846556419,-0.023922459522022,-0.0425318761100977,-0.0541332572323117,-0.0589635563868036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sooglossus_sechellensis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0920111068997094,-0.0721238485352411,-0.0372353918512536,0.00023524551745524,0.0282923939559501,0.0407446023507907,0.0373660712290111,0.0229174758028061,0.00608185493316515,-0.00426293997759863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendroaspis_jamesoni,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00121505042852132,0.00127213210932764,0.00135012426410652,0.001412055120807,0.00147541344513824,0.00160405789167317,0.00184365266048592,0.00217291907574557,0.00251822740213736,0.00280844102796163,0.0030122698430497,0.00313280776635527,0.00318518780391774,NA,NA,NA,NA,NA,NA,NA
