"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Fratercula_arctica","Fratercula_arctica",181,1,0.00678605243176167,0.00946993034986676,0.00353649683809391,-0.00220968752028176,2.21900705709525e-05,0.00438869716230716,0.00237927637868625,-0.00845748036553645,-0.00584674001335631,0.0437061545950522,0.0202405053451225,0.0253620817900911,-0.00417262006977744,-0.00435976854673206,-0.00032141432912812,0.000657696255510126,-0.00587726269455774,-0.0115843104153751,-0.0140502764718354,-0.00430673295656184,-0.00666331480494813,0.00812887040326675,0.0104277263222858,-0.0138390990974684,0.00653127089294824,0.00195369725789811,0.0013519358540582,0.000695568014548324,3.51021691538852e-05,-0.002963772493637,-0.00580117856604567,-0.00753706400418475,-0.00878447553427208,-0.0093963818238354,-0.00947693170048436,-0.00930081805470873,-0.00911918087709984,-0.00903433771849227,NA,NA,NA,NA,NA,NA,NA,NA
"Fulmarus_glacialis","Fulmarus_glacialis",58,1,NA,NA,NA,NA,NA,0.00095570854796214,0.000955708547962175,0.0112817341484855,0.00777999154968175,0.00755283146986296,-0.0028038674024729,-0.00313345519100699,-0.00287609396360727,-0.00303353429761826,-0.003120707786095,-0.00461929285786538,-0.005086312070672,-0.00505946150819945,-0.00467571840381691,-0.00459156795270478,-0.00447831702963479,-0.00454676616161784,-0.00443759262422385,-0.00449226625477696,-0.00601972617935279,-0.00523992224324268,-0.00533046764798431,-0.00523144716379671,-0.00531763661271071,-0.0100339155955082,-0.0100892276726519,-0.0137711241604844,0.0134648143189594,-0.0120087478831582,-0.0120568046387756,-0.0184192303547385,-0.0183765572605659,-0.0187494923696034,0.0441195815419979,-0.202984046899452,NA,NA,NA,NA,NA,NA
"Gavia_pacifica","Gavia_pacifica",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00906851391826081,-0.00906851391826079,-0.00906851391826081,-0.00906851391826086,-0.00906851391826073,-0.00906851391826083,-0.00906851391826091,-0.00906851391826075,-0.00906851391826081,-0.00906851391826082,-0.00906851391826081,-0.00906851391826083,-0.00906851391826079,-0.00906851391826079,-0.00906851391826088,-0.348454645592119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavia_stellata","Gavia_stellata",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.1249387366083,0,NA,NA,NA,NA
"Gulosus_aristotelis","Gulosus_aristotelis",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0186661054066199,0.00053991550901733,-0.0103311559390402,0.00426075721790031,0.0246243514490783,0.0116576753493189,-0.0454704947463997,-0.110630426363473,-0.134194138585626,-0.100653413315231,-0.0386837808714215,0.0116792280832203,0.0336803364427949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haliaeetus_albicilla","Haliaeetus_albicilla",38,1,0.00205628683201087,-0.00451538054532485,-0.0105327876383889,-0.00974909874841501,-0.00599032602746385,-0.00781620008863326,-0.0146995953422366,-0.01438615245357,0.00274343448187553,0.0295580063696277,0.0469620921603451,0.0430906232820203,0.0247550765735156,0.00924804128447132,0.00787191512947016,0.0189068511781909,0.0331273556996938,0.0420925222558597,0.0422550330010598,0.0357595667377899,0.029081698821473,0.028402530634914,0.0343058329576615,0.0419092960872018,0.0467199941151653,0.0484914971275212,0.0485965106118731,0.046612709515736,0.0422057482882368,0.0381862300605453,0.0376109510490812,0.0382210418060338,0.0338836573081012,0.0227023844378746,0.0102559238067186,0.00291063708654393,0.000932603670630083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larus_argentatus","Larus_argentatus",93,1,0.0281570410112678,0.0888234307337979,0.0628965190835131,-0.012648018136489,0.025833035603918,0.110460309571695,-0.0434926587138939,0.0495773591464869,0.00192638432684385,0.0253869237195341,-0.017398712681851,0.0274424423180593,0.0109122395569282,0.00124836641690555,-0.00490647894239663,-0.0142577771644112,-0.0507080969624184,0.0559019833755269,0.0589600859884093,0.0335543998829125,-0.0940125580418051,-0.0684586773064337,-0.00611659924265506,-0.0137252224652906,-0.0156955390785494,-0.105274841657363,-0.320903096749617,0.229543666116565,0.336412485787015,-0.0246702878179198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larus_californicus","Larus_californicus",43,1,NA,NA,NA,NA,0.0222325104220085,0.028286544591051,0.0368091672392832,0.0423474014874747,0.0422661840155634,0.0374602190864972,0.0301119547189841,0.0225095957998804,0.0168815060209808,0.0144539960980965,0.0146309014103472,0.0159665790969155,0.0176032747797761,0.0189773486755973,0.0188516768021465,0.0161376799114485,0.0117174287013486,0.00828853411186037,0.00810317204385935,0.0115205430803877,0.0176166025739382,0.0250326351421521,0.0318507678979545,0.0356556650879134,0.0346260287117643,0.0285768146487202,0.0190057518437041,0.00861054137842654,0.000567892943224457,-0.00286106942222242,-0.00175025722786915,0.00174158774202793,0.00523636706343122,0.00740069667748022,0.00759531894170662,0.00543154369018906,0.00118218474007303,-0.00424532618520335,-0.0103277936710029,-0.0170725431191059,-0.0235426322262762,-0.0274921165452406
"Larus_canus","Larus_canus",100,1,0.0114937799292514,0.00622890668318576,-0.00296092895640321,-0.0155256731966017,-0.0273900789328615,-0.0410389202992865,-0.0511440707140403,-0.052093223036315,-0.0428146354185282,-0.0245743718107782,-0.00349764063617634,0.0112792500008996,0.0132556375285815,0.00315504480502364,-0.0115410292981128,-0.0220462304810825,-0.0243480978005407,-0.0211077138360887,-0.0183206611815086,-0.00569532187826444,-0.0138455738659087,-0.0228252245435707,-0.028083597350374,-0.0137837612793101,-0.0137837612799213,-0.0137837612808723,0.0536300316652323,0.0494247042774502,0.039792306311474,0.0245160250553768,0.00590496240144853,-0.0109600273113589,-0.020573221166507,-0.0137837612918188,-0.0137837612928008,-0.0137837612936437,-0.0137837612943226,-0.0137837612948306,-0.013783761295192,-0.0137837612954509,-0.0137837612956379,-0.0137837612957603,-0.0137837612958222,-0.0137837612958411,NA,NA
"Larus_fuscus","Larus_fuscus",31,1,0.161757119357698,0.158608213535476,0.148765420714378,0.130904777577649,0.10800132865834,0.084172338106795,0.0612426466484597,0.0394913145973778,0.0204439159912775,0.00672825406559796,-0.000843955754275427,-0.00412809686414994,-0.00492065614847836,-0.00295141719359482,0.00238796023945886,0.0097334893606843,0.0166920815048435,0.0219428509050231,0.0242494297330005,0.0199869024887971,0.00456503311445666,-0.0228337245328951,-0.0582492123262348,-0.0976404401975138,-0.139429320984942,-0.179588883175126,-0.207452233365402,-0.213060307985735,-0.2002861676732,-0.186767439617204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
