population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1366,1,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,0.102059991327963,0.102059991327962,-0.602059991327962,0.243038048686294,-0.146128035678238,0,-0.698970004336019,0,0,0,0.301029995663981,0.301029995663981,-0.301029995663981,-0.301029995663981,0.698970004336019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1364,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0447877763324382,-0.0447877763324382,-0.044787776332438,-0.0447877763324382,-0.0447877763324382,-0.044787776332438,-0.0447877763324382,-0.0447877763324382,-0.044787776332438,-0.0447877763324382,-0.0447877763324382,-0.0447877763324381,-0.0447877763324381,-0.0447877763324382,-0.0447877763324382,-0.0447877763324381,-0.0447877763324381,-0.0447877763324381,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1367,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.00488292113281386,0.00488292113281386,0.00488292113281386,0.00488292113281386,-0.116441697539312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1365,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0331563913186477,-0.0331563913186477,-0.0331563913186477,-0.0331563913186477,-0.167251695239644,-0.167251695239644,-0.167251695239644,-0.167251695239644,-0.0197953115119063,-0.0197953115119061,-0.0197953115119063,-0.0197953115119061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1077,1,-0.0293541974271432,-0.0293541974271432,-0.0293541974271432,-0.0293541974271427,-0.0293541974271432,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,-0.0304757868183223,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1089,1,-0.0292652181124442,-0.0292652181124438,-0.0292652181124446,-0.0292652181124438,-0.0292652181124442,-0.0292652181124442,-0.0292652181124442,-0.0292652181124442,-0.0292652181124442,-0.0292652181124442,-0.0292652181124442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17755,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.265627674194944,0.446059941043167,-0.0339319952834434,-0.0339319952834434,-1,-1,-1,-1,-1,-1,-1,-1,-1
672,1,-0.0551063357423209,-0.0984192628508536,-0.0931187562447042,-0.0746502719523934,-0.0702068358992569,-0.0525013733778614,-0.025400955927722,-0.0479704335473794,-0.114057885046447,-0.118355145100435,-0.0222471166457932,0.0542783218470877,0.00684670368231344,-0.087445742993864,-0.0967713784003621,-0.0351097753816562,-0.000330403125465173,0.0025877159528529,0.0192473262895164,0.0068726862894839,-0.072277773305749,-0.084230882572445,0.114171845476604,0.37091422128588,0.371049749357387,0.11043097106334,-0.0571689357248795,0.0454837819390741,0.143264653816303,-0.0298763727899312,-0.284217289228085,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
671,1,0.00255281663475193,0.0238785089086742,0.0379932756375856,0.0243992040589001,-0.0035070861550679,-0.0183813581250605,-0.0093093369317343,0.0126286973455003,0.0294778185328775,0.0334060831138097,0.0328309277386365,0.0397810581756948,0.0486685349470342,0.0385573727120909,0.00650704397312785,-0.0161862187864621,-0.00305793815278044,0.0226692492994967,0.0153939750653622,-0.019818163004818,-0.0228947196715161,0.030880783175584,0.0742120091628238,0.0277943209861262,-0.0778349000187648,-0.117354099651039,-0.0259687863110409,0.104325273614769,0.126004658319606,0.0161083079806432,-0.0979453849737879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
673,1,-0.0411954370472158,-0.0411954370472158,-0.0411954370472163,-0.0411954370472158,-0.0411954370472161,-0.0411954370472158,-0.0411954370472158,-0.0411954370472161,-0.0411954370472158,-0.0411954370472161,-0.0411954370472158,-0.0411954370472158,-0.0411954370472161,-0.0411954370472158,-0.0411954370472161,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.0352669644024102,0.03526696440241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
692,1,-0.0251051304704339,-0.0251051304704344,-0.0251051304704339,-0.0251051304704344,-0.0251051304704339,-0.0251051304704339,-0.0251051304704344,-0.0251051304704339,-0.0251051304704344,-0.0251051304704339,-0.0251051304704339,-0.0251051304704344,-0.0251051304704339,-0.0251051304704344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19785,1,-1,0.00158791577963191,-0.00799828281797987,0.0235045790865653,0.0235045790865649,0.0235045790865653,0.0235045790865653,0.0235045790865653,0.0235045790865653,0.0235045790865653,0.0235045790865649,0.0235045790865653,0.0235045790865653,0.0235045790865653,0.0235045790865653,-0.0102392439852639,0.000861696531367251,0.000861696531366807,-0.080042087720761,0.241261790660491,0.0162829610755142,0.0162829610755142,0.0235679981973673,-0.0484887286584947,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133425,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133425,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,0.15000569074144,-0.052706350516003,-0.00469512120837967,-1,-1,-1,-1,-1
694,1,-1,-1,-1,-1,-1,-0.00695242125184237,-0.00695242125184237,-0.00695242125184237,-0.00695242125184237,-0.00695242125184237,-0.0115983893955374,-0.0115983893955374,-0.0115983893955374,-0.0115983893955374,-0.0115983893955374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
690,1,-1,-1,-1,-1,-1,-0.0630540869557183,-0.0630540869557181,-0.0630540869557183,-0.0630540869557183,-0.0630540869557183,-0.0269397147794912,-0.0269397147794912,-0.0269397147794912,-0.0269397147794914,-0.0269397147794912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10038,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
