Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Castor_fiber,1,0.0444846127388201,0.0448338694160636,0.0384690913597778,0.0413984514211219,0.0403743061103599,0.0412718679072715,0.0422821409205211,0.039290973953272,0.0382665754295182,0.0360490515651989,0.0362663906126247,0.0396601005803059,0.041387938368474,0.0358597044275722,0.0377794981486756,0.0410444930635546,0.0428285173407074,0.0426412984335745,0.125866390385315,0.0894894216682073,0.0630062067778176,0.0431067817228256,0.043026431067611,0.0518313492493759,0.0461831360217096,0.0330267056171493,0.0291645511522036,0.0295689546435545,0.0304444321142756,0.0367224329903167,0.0403645681948728,0.0447621608690058,0.0447647265216339,0.0415042095919908,0.0413691566287124,0.0428570555406944,0.0481658214784838,0.0521785405130143,0.0484795901917364,0.0491389403725402,-0.00811143978805582,0.0242722258096384,-0.0102532794027961,0.0247329696748139,0.0976278525987041,0.0672811237161328
Arvicola_amphibius,1,-0.172158360669464,-0.0368669435489409,-0.00110920975320478,0.55314730341779,0.140340929117093,-0.294074539025658,-0.318838846120753,-0.314348084055714,-0.247653629911988,-0.184293402538888,0.294595885658571,-0.294595885658571,-0.32735893438633,-0.0579919469776868,0,0.154901959985743,0.322219294733919,-0.243038048686294,-0.301029995663981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmana_moschata,1,-0.251480490199167,-0.156859971172139,-0.00824508381204669,0.118872197540357,0.172672807129009,0.0679116029816629,0.0335900637637168,-0.00284276248357496,-0.0267039298422576,-0.03895617514176,-0.0506162564315391,-0.0619067586832773,-0.0539220072171422,-0.0125849151075539,0.0426620820161538,0.0719039059590958,0.0509908396075065,0.00580262482592353,-0.0259420461632167,-0.0338609859804495,-0.0359265711263508,-0.047629608372199,-0.0672755460326273,-0.0905969056901605,-0.120438574093392,-0.151550216546557,-0.158217548776452,-0.113937523969351,-0.0239634009074466,0.0719675489214514,0.132339131593392,0.297928216829956,0.250259726021984,0.168514181782868,0.0762610010430218,-0.00894551556759504,-0.0690345722125039,-0.0481130397563463,-0.133442253794583,-0.251056020702143,0.0972873323748471,0.0972873323748473,-0.477121254719663,0.909823369650912,-0.011281010409689,NA
Neovison_vison,1,0.0399711417732795,-0.0072154910791625,-0.0364229604731659,-0.00513859061521498,0.0365224942448417,0.0205930932092532,-0.030490032065521,-0.0351539365516002,0.0184837220152582,0.0469504236846731,-0.000800356583316092,-0.054405145147302,-0.0219581701106292,0.0577622858415141,0.0515846308854815,-0.0643873835115627,-0.121221345593889,0.0532018875397086,0.397152111363727,0.65225356547599,0.629121608398876,0.364147582956361,0.139053681652385,0.0154506096555314,-0.0419410048641451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pusa_hispida,1,NA,-0.0250858329719983,-0.0250858329719983,-0.0250858329719987,-0.0250858329719983,-0.0250858329719983,-0.0250858329719987,-0.0250858329719983,-0.0250858329719983,-0.0118004105169462,-0.0118004105169456,-0.011800410516946,-0.0118004105169458,0.0102809994240687,0.0102809994240687,0.0102809994240691,0.0102809994240687,0.0102809994240691,0.0102809994240687,0.0102809994240691,0.00148501193810624,0.00148501193810713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neomys_fodiens,1,NA,NA,NA,0.0564499877643484,0.0564499877644748,0.0564499877648318,0.0564499877654203,0.0564499877660582,0.0564499877665064,0.0564499877666699,0.0564499877666463,0.0564499877665855,0.0564499877665579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lutra_lutra,1,NA,NA,NA,NA,NA,NA,NA,0.0260825029942524,0.0260825029942524,0.0260825029942524,0.0260825029942523,0.0260825029942524,0.0240861708705554,0.00883248949035634,0.013622309988716,0.019206876885088,0.0200302513862247,0.0215587306350488,0.000794273423276775,0.0132534756765262,0.0131628949228256,-0.014027261559893,-0.00031674027837236,-0.00473530725531808,-0.00893932567161058,-0.00659595760238628,-0.00353525302581103,-0.00700233927097308,-0.0146584982456454,-0.0106093786434894,0.0449638465505472,0.0897251206831881,0.108994460060021,0.0673971913202294,0.156325761372504,-0.00310222462285784,0.0724140355610093,0.057677298018511,0.0390785863830994,0.0287689977019696,0.0216618515929009,0.0211373007885364,0.018143942700101,0.0179081871158972,0.0208144033641336,-0.0227463283197353
Lipotes_vexillifer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0817870785947004,-0.0817870785946999,-0.0817870785947004,-0.0817870785946999,-0.0817870785947004,0.283996656365201,-0.0440228147639203,-0.0440228147639203,-0.0440228147639203,-0.0440228147639203,-0.050171665943997,-0.0501716659439966,-0.050171665943997,-0.050171665943997,-0.0501716659439966,-0.050171665943997,NA,-0.0595856899842442,-0.0302239826058732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castor_canadensis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0418513880269442,0.0418513880269442,0.0418513880269442,0.0418513880269442,0.0418513880269442,0.0418513880269442,0.0418513880269447,0.0418513880269442,0.0418513880269442,0.0418513880269442,0.0418513880269442,0.0418513880269442,0.0418513880269447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neophocaena_phocaenoides,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00978284772531568,0.152242950443393,-0.126168108768334,0.00379733002566711,-0.00978284772531568,-0.00978284772531524,-0.143873769660302,-0.196499799788323,-0.00978284772531568,-0.00978284772531568,-0.00978284772531568,-0.00978284772531568,-0.00978284772531568,-0.00978284772531568,-0.00978284772531524,-0.00978284772531568,-0.00978284772531568,-0.00978284772531568,NA,-0.098185474958299,0.0202759559743114,0.0142404391146103,NA,NA,NA,NA,NA,NA
