"","SpeciesSSet","Freq","sorted_lambdas"
"1970","Crocodylus_niloticus",62,1
"1971","Crocodylus_niloticus",62,NA
"1972","Crocodylus_niloticus",62,0.00158791577963191
"1973","Crocodylus_niloticus",62,-0.00799828281797987
"1974","Crocodylus_niloticus",62,0.0235045790865653
"1975","Crocodylus_niloticus",62,0.0235045790865649
"1976","Crocodylus_niloticus",62,-0.0155006430403318
"1977","Crocodylus_niloticus",62,-0.0155006430403317
"1978","Crocodylus_niloticus",62,-0.0155006430403318
"1979","Crocodylus_niloticus",62,-0.0155006430403318
"1980","Crocodylus_niloticus",62,-0.0155006430403318
"1981","Crocodylus_niloticus",62,-0.00730330106728089
"1982","Crocodylus_niloticus",62,-0.00730330106728072
"1983","Crocodylus_niloticus",62,-0.00730330106728078
"1984","Crocodylus_niloticus",62,-0.00730330106728078
"1985","Crocodylus_niloticus",62,-0.00730330106728078
"1986","Crocodylus_niloticus",62,-0.0122094615829619
"1987","Crocodylus_niloticus",62,-0.0066589913246462
"1988","Crocodylus_niloticus",62,-0.00665899132464653
"1989","Crocodylus_niloticus",62,-0.0471108834507105
"1990","Crocodylus_niloticus",62,0.156921027758912
"1991","Crocodylus_niloticus",62,0.00098301301638944
"1992","Crocodylus_niloticus",62,0.000983013016389433
"1993","Crocodylus_niloticus",62,0.00189364265662108
"1994","Crocodylus_niloticus",62,-0.00596644466627835
"1995","Crocodylus_niloticus",62,-0.00427078199813424
"1996","Crocodylus_niloticus",62,0.205791320098616
"1997","Crocodylus_niloticus",62,-0.0321755943643327
"1998","Crocodylus_niloticus",62,-0.0321755943643327
"1999","Crocodylus_niloticus",62,-0.0157729239575317
"2000","Crocodylus_niloticus",62,0.0241868355607338
"2001","Crocodylus_niloticus",62,0.035147180134062
"2002","Crocodylus_niloticus",62,0.0351471801340619
"2003","Crocodylus_niloticus",62,-0.0223000884712588
"2004","Crocodylus_niloticus",62,-0.0312720653257815
"2005","Crocodylus_niloticus",62,-0.0451112016507749
"2006","Crocodylus_niloticus",62,-0.153354138242753
"2007","Crocodylus_niloticus",62,0.0286213179920168
"2008","Crocodylus_niloticus",62,0.042888317049576
"2009","Crocodylus_niloticus",62,0.0428883170495757
"2010","Crocodylus_niloticus",62,0.15000569074144
"2011","Crocodylus_niloticus",62,-0.052706350516003
"2012","Crocodylus_niloticus",62,-0.00469512120837967
