population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
5471,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.036271202956685,-0.036271202956685,-0.036271202956685,-0.0362712029566854,-0.036271202956685,-0.036271202956685,-0.036271202956685,-0.036271202956685,-0.036271202956685,-0.0362712029566854,-0.036271202956685,-0.0362712029566852,-0.036271202956685,-0.036271202956685,-0.036271202956685,0.176091259055681,0.176091259055681,0.040617850908264,0.360151447782638,0.201290692637061,0.0470329525109174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5469,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0272327545984732,-0.0272327545984732,-0.0272327545984732,-0.0272327545984732,-0.0272327545984736,-0.0272327545984732,-0.0272327545984732,-0.0272327545984732,-0.0272327545984732,-0.0272327545984732,-0.0272327545984732,-0.0738001130008143,-0.0738001130008143,-0.0738001130008143,-0.0738001130008143,0.152309643988771,0.152309643988771,0.152309643988771,0.152309643988771,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5464,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0205628609100179,-0.0203368523146605,-0.0198848351239418,-0.0192068093378706,-0.0183027749564397,-0.0171727319796493,-0.0158166804075011,-0.0142346202399972,-0.0123907297940273,-0.0101600337722978,-0.0076277467482555,-0.0050321160768636,-0.00251826337310668,-2.0675466956277e-06,0.00271519134108145,0.00568390946435038,0.00873424561417302,0.0117309119886779,0.0142781108686876,0.0161565023550421,0.0174643579394749,0.0184440179813654,0.0192931168224915,0.0201221038333905,0.021007030675249,0.0220045456066895,0.0231122730778837,0.0242647066647534,0.0253972741773278,0.0264979661046247,0.0275788326456761,0.0286155663112004,0.029543342742639,0.0303064976483829,0.0308840950077731,0.0312663206783848,0.0314465586444226
9072,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.00108837038401277,-0.00108837038439824,-0.00108837038523024,-0.00108837038655363,-0.00108837038840259,-0.00108837039067522,-0.00108837039310039,-0.00108837039543164,-0.00108837039762677,-0.00108837039969489,-0.00108837040145593,-0.00108837040255505,-0.00108837040282328,-0.00108837040248178,-0.00108837040196352,-0.00108837040158183,-0.0010883704013942,-0.00108837040133425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9071,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.00732443230502344,-0.00732443230520508,-0.00732443230552393,-0.00732443230589386,-0.00732443230625801,-0.00732443230659285,-0.00732443230687307,-0.007324432307104,-0.00732443230733804,-0.00732443230766533,-0.0073244323081143,-0.00732443230863478,-0.00732443230914903,-0.0073244323096282,-0.00732443231008162,-0.0073244323104964,-0.0073244323108157,-0.00732443231097957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9070,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0036522999503914,0.00365229995027816,0.0036522999500006,0.00365229994955563,0.00365229994904048,0.0036522999485733,0.00365229994819183,0.00365229994781835,0.00365229994733962,0.00365229994673122,0.00365229994610194,0.00365229994558591,0.00365229994523553,0.00365229994500016,0.00365229994480432,0.00365229994462801,0.00365229994449479,0.00365229994443039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9069,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.00647993081122111,-0.00647993081125664,-0.00647993081135345,-0.00647993081153553,-0.00647993081181752,-0.00647993081215881,-0.00647993081248632,-0.00647993081274834,-0.00647993081293397,-0.00647993081302278,-0.00647993081294862,-0.00647993081265374,-0.00647993081218279,-0.0064799308116934,-0.00647993081132969,-0.00647993081112785,-0.00647993081103948,-0.00647993081100751,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9068,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11157395777238,-0.000421235140799503,-0.0640885175968946,-0.00606626024026546,0.0325433199423477,-0.0509703855994483,-0.116481062294192,0.000693997948060243,0.190886336022473,0.198025137713738,-0.000307402220595776,-0.153699069806782,-0.100189317824415,0.0308061271018816,0.0522285910015436,-0.0167416014898678,-0.0461760368718012,-0.022581428777444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9067,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0292019309958682,0.0287733184352357,0.0278240136796712,0.0263715065437558,0.0245716452155529,0.0226590835018254,0.0207497050013816,0.0186263796326078,0.0158442739869047,0.0122097754208039,0.00815386302687449,0.00451524299128225,0.00190961363619069,0.000351173076050593,-0.000542338245081986,-0.00111158615405671,-0.00147355710819097,-0.00163945098316232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5708,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0348442864498097,0.0300598343138296,0.0196447066913299,0.00591500471651329,-0.0050345813007211,-0.00665501215299669,0.00325214089152315,0.0205647003704179,0.0377949670523625,0.0492787881243362,0.0540271687027709,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
