Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Carcharodon_carcharias,1,-0.00712165909064068,0.0157553019794731,0.0210426163874703,0.0317559607690453,0.0211884465351958,0.00449333119049972,-0.00806037546743593,-0.0208810464989074,-0.0408939920734166,-0.0826389152853633,-0.100862875705002,-0.0699225378355354,-0.0199168745322402,0.000615783596441922,-0.0169107485076511,-0.0332732316075635,-0.0177189739062436,0.0108453955797033,0.0142181366374188,-0.00769905041236383,-0.0144939477315826,0.0178207094406597,0.059967928706466,0.0710068354005097,0.0039236459475746,-0.0650073131567762,-0.0671403068781865,-0.0159975041637657,0.026535886788943,0.0350023355441226,0.0390441271858721,0.0640291646078467,0.0910801999320826,0.0522245734014246,0.0306201403243423,-0.0346008747526941,0.0593144146987423,-0.00810748838461595,-0.0973964677010533,0.00420350468175654,-1,NA,NA,NA,NA,NA,NA
Ophiodon_elongatus,1,-0.017507849487818,-0.0286064465475961,-0.0385943548484073,-0.0433762379814002,-0.0434876376292186,-0.039267078689718,-0.0311767359077701,-0.0266611515880806,-0.0369865480396236,-0.0607713789702,-0.0789632042353796,-0.0761477566868582,-0.061174059191953,-0.0545199098704252,-0.0585027487848264,-0.0552363586830129,-0.0361657727648321,-0.0179267896409767,-0.0201145667281675,-0.0381957392250225,-0.0492463323471748,-0.0380189707327321,-0.00786843486619482,0.027881193129875,0.0544231071685308,0.060290500763359,0.0470843812248565,0.033778915968798,0.0395264857031945,0.0613641186745357,0.079771101715771,0.0864501614489592,0.0926652876561418,0.106147024809147,0.11490593798966,0.104273896388868,0.0792897749554662,0.0579689900024682,0.0490912206552769,NA,NA,NA,NA,NA,NA,NA,NA
Sebastes_goodei,1,0.0336782111990832,0.0397678739502041,0.0200606745215399,-0.00603707970603296,-0.0195606619326645,-0.0123333577188838,0.0107194751780781,0.0295574736121971,0.0206300266288748,-0.015386954934379,-0.046587461760728,-0.0475731836134896,-0.0356574320705789,-0.0456444369186046,-0.072310081874833,-0.070143454874807,-0.0205530245908037,0.0318352326170341,0.0339331639665437,-0.00649244026079465,-0.036783798340819,-0.0321728531438623,-0.0173410059470971,-0.0165563515396592,-0.0196437602718955,-0.0113574081282635,-0.00361747587229555,-0.0127740227415467,-0.0226114420417485,0.000275550205550257,0.057378811167597,0.108602041098547,0.116439480432044,0.0839121338641062,0.042943327043286,0.0180235630963059,0.0102325165201291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sebastes_paucispinis,1,-0.011465035266621,-0.0187937535993603,-0.0304455238086332,-0.0451587938671061,-0.0524938263326344,-0.0460431016202438,-0.030626204304431,-0.0142922066123381,-0.00191672604337345,0.000324253901825777,-0.0165104905941069,-0.0530323291808266,-0.0922602065730294,-0.109366392280811,-0.093731067526611,-0.0595903089286542,-0.0326808483041336,-0.0259102829864002,-0.0297493359724177,-0.0278673177014923,-0.0187877486988133,-0.015608925232856,-0.0247002440084305,-0.034735353689511,-0.0328513843971305,-0.0229215699824525,-0.0168491785689073,-0.0130365173146321,0.00190714573909734,0.0294099739008771,0.0514254733182935,0.0528498819546002,0.0404404823869609,0.0310764787111966,0.0295149777363157,0.106259076017483,0.0326768522871812,-0.0345120649896679,0.00756358242888755,NA,NA,NA,NA,NA,NA,NA,NA
Sebastes_melanops,1,-0.00191843080270182,-0.00134859372214891,-0.00143760484326716,-0.00267918271371492,-0.00489349624515434,-0.00743044209732702,-0.00970666378086005,-0.0118288946810852,-0.0147131824035087,-0.0192936111833539,-0.0254607525137844,-0.0318351454769292,-0.0364395226108369,-0.0373803318668848,-0.0333328097209602,-0.0244756760435481,-0.0135004447751168,-0.00490451604608566,-0.0020172440599735,-0.0042241892240682,-0.00733530110062119,-0.00682477561061567,-0.000849989677742968,0.00913399765487632,0.0196888221358558,0.0272547551920068,0.0298619254726935,0.0280908090847678,0.0244195474021129,0.0211606885718618,0.0187980716882326,0.0162183133057709,0.0122360530235799,0.00673318205495743,0.000726255940626253,-0.00420286074364018,-0.00678702680760335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachurus_capensis,1,0.00275017672506728,-0.00388423091775181,0.00209182564467358,0.00944758622447583,0.00499419251769151,-0.0100829939537981,-0.0227391078288797,-0.0234807047848076,-0.014294254006967,-0.00276245906663064,0.00594959136705775,0.0102185466476863,0.0103651852248099,0.00929892222011652,0.0112977872655353,0.0158887789793694,0.0149861409796408,0.00120800788251962,-0.0209834994929015,-0.03722085504163,-0.0377700837448565,-0.0262774532311711,-0.012399772937318,-0.000607522696500773,0.00942567612960499,0.0152815353076345,0.0121418630743317,0.00122359852780995,-0.00848508021761063,-0.0100545476572371,-0.00602955272124728,-0.00254704664266736,0.000239846187035653,0.00665852213978813,0.0164227703661526,0.0236298259492118,0.0259357881645768,0.0284339681364516,0.0341780701500802,0.0354387549171529,0.0217064531374387,-0.00377637480620674,-0.0232799706709557,NA,NA,NA,NA
Xiphias_gladius,1,-0.032464210021429,-0.0118389429863092,-0.0245394309059298,-0.02658660017645,-0.00421078325291475,0.0194034289022415,0.0200490785179328,0.00858320587416771,-0.00867739936188182,-0.0231885861509384,-0.0323053221603751,0.0255568427569136,0.0441483002703298,0.04374036188252,0.0121306941179231,-0.0196976701231759,-0.0164195995717327,0.00867712742889469,0.014321561067942,-0.00564089075667507,-0.0192318317831759,-0.0134540142717539,-0.0119448109335304,-0.0277490245572056,-0.0183962449913314,-0.0132811396056969,-0.00507910827010161,-0.015120233633709,-0.0310517223820151,-0.0277262374153133,-0.0102528728686653,-0.00395672222954092,-0.0145466051787141,-0.011748937312698,0.0150523970092581,0.0454813869091942,0.0544191315950339,0.037941222787706,0.00921098919206668,-0.0122396858923446,-0.0289307028370941,-0.00568427613662367,0.0177438528255344,NA,NA,NA,NA
Katsuwonus_pelamis,1,-0.044371533222767,-0.0121151346566395,0.0381354949627989,0.0648538504604009,0.0992082073758245,0.144360744479141,0.183251775281879,0.0103727596564371,-0.000298028598473721,-0.0153295047680375,-0.00818859472055289,0.0180668641930519,0.0321304253516397,0.0138795228861746,-0.00926808395332387,-0.0226382623714418,-0.0219619029034867,-0.0189591284397666,-0.0205653500991472,-0.0194810005372836,-0.00925588097662442,0.00274150885028451,0.00665777492742769,0.00711376965836379,0.0166491462558678,0.0347483618402419,0.0461428605372722,0.0414549909827187,0.0275033458341525,0.0134466567780498,-0.000355989308269952,-0.0123279229378997,-0.012464689224601,0.000642306192815227,0.00629377522296858,-0.0141590668419061,-0.0433649243166102,-0.0426233227166354,-0.00618677468155202,0.0243701828664587,-0.054705028777382,-0.0772576140143184,-0.084672768748412,NA,NA,NA,NA
Thunnus_alalunga,1,-0.00140575788991992,-0.0189874306703044,-0.0491311723312725,-0.0603460140495753,-0.0298103790517433,0.0465563829699232,0.0370212706304266,-0.0229283960047572,-0.0262303725918169,0.00419442201672906,0.0412131876723834,0.0140012848464783,-0.0207268573906559,-0.0125468380309429,0.0349498539819424,0.054194877849735,-0.00364991390876184,-0.0913723648267561,-0.108850287195145,-0.0283855485875528,0.0625200768338459,0.0677961527626155,0.000876236190921158,-0.0429706708863047,-0.015722942425042,0.0312198582044318,0.0218069845132425,-0.0150026065951256,-0.0437796887810401,-0.0424682742020738,-0.0261554187204473,-0.0110558944343845,0.00588118707186598,0.0279161885791592,0.042852263842785,0.0374634068933508,0.0207487682165762,-0.0178178386659593,-0.0549892160149556,-0.0570348402946575,-0.0128163989631158,0.0495413873369473,0.144069780991655,NA,NA,NA,NA
Nemadactylus_macropterus,1,0.0162261014620677,0.035519505260897,0.0401676488418587,0.0249324459625955,-0.000178535143185776,-0.0161872507601517,-0.017012327449498,-0.0165023119411671,-0.0278007912244194,-0.0445234295686765,-0.0510199888075071,-0.0440775883251519,-0.0334467460692434,-0.0252914610242865,-0.0177303191867058,-0.0121604878482193,-0.0160021673047002,-0.0296865926320731,-0.0406536744605459,-0.037533976425328,-0.0251342730560973,-0.0185169299990275,-0.0243497320610495,-0.0339242770618498,-0.035232139754938,-0.028281447950576,-0.0253988562826786,-0.0352859351357804,-0.0490402766162492,-0.0482215921320668,-0.0297274294402907,-0.0145049937792829,-0.0211210822764483,-0.0356649946465746,-0.02496904764386,0.0168619257379943,0.0545356671904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
