"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 0.934834608197196 0.934834608197196 0.934834608197196
"1972" 0.885686954769643 0.801537912970541 0.991852542393168
"1973" 0.83912317213191 0.737826706183948 0.995253774383756
"1974" 0.795007416804345 0.684933233940205 0.990728194635795
"1975" 0.7532109870928 0.644798375381901 0.972222207333482
"1976" 0.670879834175972 0.559490456628752 0.860001507972732
"1977" 0.597548043797358 0.496080518290766 0.785053651660127
"1978" 0.532231923597202 0.437859843236838 0.696065584327521
"1979" 0.480995889311597 0.380468191048916 0.668333703480991
"1980" 0.439208798133585 0.333723157903347 0.632391937114688
"1981" 0.408759633220537 0.31172910126983 0.625468444947398
"1982" 0.386144791224282 0.279721127708536 0.580691889102107
"1983" 0.346138807574045 0.252846236009075 0.525870412589034
"1984" 0.29832873679385 0.212272576285288 0.456912227933194
"1985" 0.258001735745394 0.178469117366497 0.37840626234779
"1986" 0.231335979690991 0.158672361104457 0.350463298685425
"1987" 0.222727715605748 0.158862110549259 0.337108785855279
"1988" 0.194813709633577 0.121527050297411 0.314007281031657
"1989" 0.180339651995099 0.110259206815726 0.299992465976598
"1990" 0.172018325156166 0.105968709563031 0.285576836229894
"1991" 0.147755268458413 0.0966526737176168 0.243361738764166
"1992" 0.148449712676605 0.0890475157540246 0.272922098673115
"1993" 0.112505040092408 0.0645743753854586 0.211083820439123
"1994" 0.0913852904527372 0.050740162998081 0.160727122812669
"1995" 0.0755892194068412 0.0434943196142566 0.140739441957504
"1996" 0.0588990000483144 0.0321740356544263 0.113016600666105
"1997" 0.0440225774144761 0.0237536045002849 0.0835933414782766
"1998" 0.0337982658085806 0.016216222492304 0.0638804277038762
"1999" 0.0295406318022687 0.0151055348937005 0.0595978071354172
"2000" 0.0253776280409125 0.0130765132691177 0.0517748201034803
"2001" 0.0245066620743689 0.0112214053202713 0.0483691813348265
"2002" 0.02304252160187 0.0104138037574623 0.0440896132025053
"2003" 0.0255012015001767 0.0104161984637014 0.0517868623583065
"2004" 0.0179857140601961 0.00785307986446778 0.0384972202900358
"2005" 0.0133155441302198 0.00602355129945274 0.0306676071803906
"2006" 0.00969271902330548 0.00428703140307931 0.0229426128770978
"2007" 0.0067898306095467 0.00312529564150529 0.0156995946204552
"2008" 0.00500930980867418 0.00215348516183458 0.0120749377761945
"2009" 0.00471932226560675 0.00196712024991176 0.0109679954505666
"2010" 0.00458180500037999 0.0019095636454463 0.0105593003492678
"2011" 0.00286606307794465 0.00142720705963375 0.008832667165118
"2012" 0.00204096093157141 0.000599510242910077 0.00714129793075655
"2013" 0.00201317490050474 0.000603124160143394 0.00711802456614602
"2014" -99 NA NA
"2015" -99 NA NA
"2016" -99 NA NA
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
