Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Physeter_catodon,1,-0.0166563273076505,-0.0170166509786389,-0.0168261852956579,-0.0166232106009634,-0.0173536747005691,-0.0186619827983998,-0.0183224669824122,-0.0143550567073056,-0.00758292187263265,-0.00115201671441678,0.00257925768033473,0.00383825911477853,0.00408985140997142,0.00405426883293458,0.00368026126757925,0.00316612916129433,0.00296840268344756,0.00307122911085589,0.00305722805628861,0.00286480200441641,0.00289542981684843,0.0867844254225405,0.0870683857483108,-0.0917385228791932,-0.0920081769284786,-0.0926131297384249,0.000751310326848683,0.000429137488919077,0.000364239134581871,0.000423791932297283,0.000670439641247911,0.144688944038868,0.144688944038869,0.144688944038869,0.144688944038869,-0.124238162160215,-0.124238162160215,-0.124238162160215,0.00857748071279252,0.00857748071279252,0.00857748071279252,0.00857748071279252,0.00857748071279207,0.00857748071279252
Odobenus_rosmarus,1,0.0153708836458817,0.0153708836458812,0.0479288166909324,0.0479288166909329,0.0479288166909329,0.0137743909001611,0.013774390900161,0.013774390900161,0.0137743909001609,0.013774390900161,-0.00643781248276343,-0.00643781248276287,-0.00643781248276298,-0.00643781248276276,-0.00643781248276343,-0.0101127175867985,-0.0101127175867985,-0.0101127175867986,-0.0101127175867985,-0.0101127175867985,-0.00798406472980573,-0.00798406472980528,-0.00798406472980573,-0.00798406472980595,-0.00798406472980573,-0.00798406472980573,-0.00798406472980573,-0.00798406472980573,-0.00798406472980573,-0.00798406472980595,-0.00798406472980528,-0.00798406472980573,-0.00798406472980573,-0.00798406472980573,-0.00798406472980595,-0.00798406472980573,NA,NA,NA,NA,NA,NA,NA,NA
Eumetopias_jubatus,1,-0.017575661907149,-0.0256283622687334,-0.0258224292790827,-0.00327219302180382,-0.0041540662187356,-0.0011811231764877,-0.00211106031619964,-0.0151866430829316,-0.0162309175926438,-0.0173479926826793,-0.0183444027942627,-0.0154984171565008,-0.00318065747896501,-0.004198473886455,-0.00548994740813313,-0.0329823928822164,-0.0333900955236546,-0.0343946872680929,-0.0346754584888607,-0.0344443520255838,-0.028543552604776,-0.0399361875304189,-0.00493039445480393,-0.00381680451562123,-0.0388303486943721,-0.0387995383254668,-0.012677627574893,-0.0125396237264415,-0.0205678980789726,-0.020531247401925,0.0314959555343386,0.0124531447831264,0.00271967846756333,0.0184998236933606,0.0152074296788438,0.0166052949496245,-0.00115728108269364,-0.00115728108269364,0.0276282028333661,0.0276282028333661,0.0233866733037038,0.0233866733037047,0.0233866733037038,NA
Enhydra_lutris,1,0.00829055406625836,0.00931912648271228,0.0113073345120997,0.00915590190847126,0.0262813889362245,0.029656422700995,0.0292072169790923,0.0213648048840424,0.0245339325054406,0.018943164498462,-0.00243493213710667,0.0278785334479543,0.0319628547882194,0.0368842645522485,0.0501665924496788,0.0296968980525202,0.0214449794372827,0.0206167537766995,0.0225836916375162,0.0097146773640192,0.0381148127266083,0.0165723962365207,-0.0222865540388817,-0.0447986464528569,-0.0304017901187452,-0.0253201711303332,-0.0173157037013195,-0.0216631156543587,-0.0124521765471894,-0.0158375049089507,-0.0374640479840373,-0.06696154147856,0.0211267152365778,0.0280488182843186,0.0303711938317319,0.0408526579744611,0.0400662129364657,0.00754906737390471,0.0413345453132259,0.0413345453132259,0.0413345453132254,0.0413345453132259,0.0413345453132259,NA
Phoca_vitulina,1,0.0843207853739663,0.0843207853739663,0.0843207853739663,0.0541044971327398,0.0239317838478404,0.00426442359072728,0.00426442359072728,0.0220426539487531,0.0192708052558208,0.0518036566648603,0.0405848369876726,0.0433090769678549,-0.00204850356927508,0.0085401608115613,0.0157590570041049,0.0127119226671852,0.0238322543788835,0.0108081874165754,0.0205601576057689,0.0109008931595527,0.022642979577935,0.00273735777748163,-0.00603383063205193,0.00690958074964743,0.0134170051310313,0.0181104929974235,-0.0381183299031459,0.0210933466642312,-0.00480719369445182,-0.0142801143723728,-0.0272399258895533,-0.00467245258363302,-0.00467245258363391,0.0479434697752383,-0.139780927883168,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delphinapterus_leucas,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-0.0029566203684448,-0.00295662036844457,-0.0029566203684448,-0.00295662036844457,-0.00295662036844457,-0.0029566203684448,-0.00295662036844457,-0.00295662036844457,-0.00295662036844457,-0.155016288265882,0.132275557690584,-0.0207743645867963,-0.0197184042696765,-0.0176778447788936,-0.00236976147287493,7.54502865196738e-05,0.00205382476061289,0.00378414060779597,0.00561244933965421,0.00766641963764503,0.00987658445671713,0.0120611636818039,0.0228430977098739,0.0238306891197885,0.0404257295888277,NA,NA,NA,NA,NA
Eschrichtius_robustus,1,-0.0310565443212919,0.164048494927507,-0.0392801002453463,-0.0329585052241823,0.0403327272024905,0.0147356820561407,0.0143797250277142,-0.0451573387734067,0.0463085725826194,0.0127001255624656,0.0137089024820815,-0.0120124047472265,0.146976192093941,-0.0396569907320695,-0.0732957719803723,0.00407076662276822,0.00267265335456945,0.193814018606218,-0.065747783039361,-0.00773247674222759,-0.00773247674222738,-0.00773247674222735,-0.178246358192652,0.111878225962593,0.111878225962593,0.0189214413336549,0.0189214413336547,0.00585809197767678,0.0227387633710268,-0.0245423347264062,0.0174174166649432,0.012408158914208,-0.00118853823198911,0.00338714837826607,0.00476948181158288,0.00703314510647805,0.0102237001361029,0.030912629178401,0.0358794412690799,0.0473686013267619,0.0520685504698419,0.0544923063179685,0.0553952723797217,NA
Orcinus_orca,1,NA,NA,NA,NA,0.00730757597034004,0.189473953328972,0.198188623558585,-0.22772252511807,0.0683894434926028,0.0603540932189197,0.0523349726262939,0.042810154131337,0.039871091617496,0.0519433637815551,0.0278751468150389,0.0429899293997761,0.0458658303519792,0.0264922954877782,-0.0101490323290032,-0.0122351281041477,0.000352485949969474,0.0058948290406263,0.00586225073313654,0.00788836608758408,0.00646453640334288,0.00695081950763938,0.0164427916811362,0.011775198955226,0.00785780149838883,0.00783097512467543,0.011881739881246,-0.00608385666467227,-0.00117466755233794,-0.00839996148937315,0.0423462476807027,-0.00856180447214028,-0.0324354826600901,-0.0324354826600897,0.0193203197148204,0.0193203197148208,0.0193203197148208,0.0193203197148208,0.0193203197148208,0.0193203197148208
Callorhinus_ursinus,1,NA,NA,NA,NA,-0.0171011577380016,0.0110001501818925,0.0140106458117127,0.0147631673846425,0.00678721899814183,-0.00817106479324559,-0.0185034675130362,-0.0158619617317548,-0.00802490025712466,-0.00711694920122252,-0.0198694842314487,-0.0254058642941823,-0.0108282220400591,0.0135769848515941,0.0274002794464114,0.0252044506051188,0.0174579700715165,0.0108453730599938,0.00177660621317854,-0.00982465521079612,-0.0149692970881163,-0.0101999763991792,-0.00580582496384163,-0.0100233794194187,-0.0146168693781056,-0.00850883788308532,0.00115155856054983,-0.00271752811045012,-0.0195770500251439,-0.0289215784338434,-0.0194403441204162,-0.00522141886422611,-0.0015825205002072,-0.0087231414120678,-0.00303554669283423,NA,NA,NA,NA,NA
Phocoenoides_dalli,1,NA,NA,NA,NA,NA,0.873295774982771,0.873295774982771,-0.12235184982962,0.0596261857722767,0.0596261857722767,0.0596261857722766,0.0596261857722767,0.0596261857722766,0.0596261857722769,0.0596261857722766,0.0596261857722766,0.0596261857722766,0.181898712499698,-0.718534384450188,NA,NA,-0.233096615295544,-0.233096615295544,0.177928358871525,0.177928358871524,0.177928358871524,-0.0626548753119831,-0.0626548753119828,-0.0626548753119831,-0.0626548753119828,-0.0626548753119834,0.0257645232700264,0.0257645232700261,0.0257645232700258,-0.0159479506871944,-0.0120320208557723,-0.0120320208557723,-0.0120320208557718,-0.0925179414286648,-0.0925179414286639,-0.0925179414286648,-0.0925179414286639,-0.0925179414286643,-0.0925179414286643
