"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Boana_cinerascens","Boana_cinerascens",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170121649660501,0.170121649660501,0.170121649660501,0.170121649660501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boana_fasciata","Boana_fasciata",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119280313679916,-0.119280313679916,-0.119280313679916,-0.119280313679916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caiman_crocodilus","Caiman_crocodilus",29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0341952961103027,NA,NA,NA,NA,NA,NA,NA,-0.141425116683228,-0.112765402018586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244016160129604,0.0703725437020614,-0.270946766431218,0.488580719331623,-0.0228385613402471,-0.0228385613434234,-0.0228385613451428,-0.0228385613454769,-0.0228385613452938
"Caiman_latirostris","Caiman_latirostris",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.284408543837384,-0.180894691453024,0.0919848956757434,0.0919848956757434,0.0919848956757434,-0.210858441914684,0.119071913760423,0.119071913760423,0.178957498238682,-0.253974110589861,NA,NA,NA,NA,-0.781617306146489,NA,NA
"Caiman_yacare","Caiman_yacare",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218214464961262,-0.00736109964636912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophrys_cornuta","Ceratophrys_cornuta",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.025665585474287,-0.0256655854742869,-0.0256655854742869,-0.025665585474287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochranella_euknemos","Cochranella_euknemos",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.400864274756529,-0.400864274756529,-0.400864274756529,-0.400864274756529,-0.400864274756528,NA,NA,NA,NA,NA
"Cochranella_granulosa","Cochranella_granulosa",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.400864274756529,-0.400864274756529,-0.400864274756529,-0.400864274756529,-0.400864274756528,NA,NA,NA,NA,NA
"Colostethus_panamansis","Colostethus_panamansis",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.349054004797798,-0.349054004797798,-0.349054004797797,-0.349054004797797,-0.349054004797797,NA,NA,NA,NA,NA
"Colostethus_pratti","Colostethus_pratti",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.400864274756529,-0.400864274756528,-0.400864274756529,-0.400864274756528,-0.400864274756529,NA,NA,NA,NA,NA
