"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 0.830018558211641 0.830018558211641 0.830018558211641
"1972" 0.826559770210714 0.826559770210714 0.826559770210714
"1973" 0.892483944573612 0.892483944573612 0.892483944573612
"1974" 0.817481647114517 0.713667646452357 0.936397000327906
"1975" 0.773250539374432 0.675053555637882 0.982470718441906
"1976" 0.730907084151245 0.574860550678942 0.928670297031151
"1977" 0.752239429728506 0.597104337160152 0.9502692425467
"1978" 0.782251569292359 0.623817622489293 0.99235587323426
"1979" 0.814152411635799 0.652002202618076 1.02453401994485
"1980" 0.848683542694768 0.677422080991465 1.07225522764124
"1981" 0.864738329828058 0.680489607836627 1.08949354404242
"1982" 0.884201275361466 0.695805607736861 1.11401512794274
"1983" 0.904863684803144 0.717326661101027 1.1300332761956
"1984" 0.881591695752326 0.703007659970022 1.09031146201181
"1985" 0.847879533963018 0.676644914676759 1.04864346045757
"1986" 0.811645347647069 0.651740166509511 1.0005137466065
"1987" 0.788902954730433 0.630838080311359 0.981350059390752
"1988" 0.83337852714267 0.630832120804324 1.08362338404968
"1989" 0.818828578474302 0.589819846060237 1.12158076373353
"1990" 0.728526139257947 0.514847400951735 1.02632698158053
"1991" 0.654239103172761 0.478360960739785 0.922228221637684
"1992" 0.628133186435492 0.459273059465049 0.885428811376088
"1993" 0.575760390575678 0.420979565813213 0.811603095129904
"1994" 0.539096457574844 0.394171944364535 0.759920898872256
"1995" 0.50422478426559 0.368674772052574 0.710765106891061
"1996" 0.494639994606525 0.361666647396674 0.697254200130546
"1997" 0.49170244273943 0.359518793307011 0.693113369628024
"1998" 0.496672634919949 0.363152855983798 0.700119449627842
"1999" 0.478006031199882 0.349504368074749 0.673806640336425
"2000" 0.399151045683265 0.291847853127966 0.562651112170064
"2001" 0.450673274271737 0.329519436265558 0.635277852173114
"2002" 0.473451620794933 0.346174313166156 0.667386654450539
"2003" 0.489091589955241 0.35760981226302 0.689433060535456
"2004" 0.531094976149111 0.388321489502401 0.748641854330383
"2005" 0.587424120355271 0.42950775215383 0.828044516500366
"2006" 0.622368891368163 0.455058371420536 0.877303348432711
"2007" 0.568550098959759 0.415707606360043 0.801439327201343
"2008" 0.529925287688971 0.38746624668239 0.74699303862488
"2009" 0.494099908939372 0.361271752170497 0.696492884822525
"2010" 0.449276472299312 0.328498134527016 0.633308892823601
"2011" 0.447339061389529 0.327081554962057 0.630577880554163
"2012" 0.447303813501713 0.327055782712434 0.630528194442862
"2013" -99 NA NA
"2014" -99 NA NA
"2015" -99 NA NA
"2016" -99 NA NA
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
