Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Strabomantis_biporcatus,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea_unguidentis,1,NA,NA,NA,NA,0.451560243769176,-0.56424661489775,-0.0381526738245988,-0.0381526738245988,-0.0381526738245987,-0.0381526738245989,0,0.0508702317661317,0.0508702317661318,0.0508702317661318,-0.0299934630369564,-0.0299934630369563,-0.0299934630369564,-0.0299934630369564,-0.0299934630369564,-0.0299934630369563,-0.0299934630369564,-0.0299934630369564,-0.0299934630369563,-0.0299934630369564,-0.0299934630369563,-0.0299934630369563,-0.0299934630369564,-0.758065153126427,-0.758065153126427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea_smithi,1,NA,NA,NA,NA,0.204280187961065,-0.50990248084766,0,0,0,0,-0.542049392684234,-0.194131034057428,-0.194131034057428,-0.194131034057428,-0.00990814978650906,-0.00990814978650917,-0.00990814978650906,-0.00990814978650906,-0.00990814978650911,-0.00990814978650911,-0.00990814978650906,-0.00990814978650909,-0.00990814978650909,-0.00990814978650917,-0.00990814978650903,-0.00990814978650909,-0.00990814978650909,-0.355562795051814,-0.355562795051814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodon_jordani,1,NA,NA,NA,NA,0.0442946617252962,0.0572585961445095,0.0482920824048341,0.0257316665186302,-0.0110451533021869,-0.0434443185953569,-0.0479821869009854,-0.0328835328005652,0.0360956521637239,0.0669014016065146,0.0464309406563495,0.00594895847484977,-0.017410905679752,-0.0133274630770752,0.00370372582560741,0.0159477687722578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea_goebeli,1,NA,NA,NA,NA,NA,-0.0633733455023066,-0.0633733455023066,-0.0633733455023066,-0.0633733455023065,-0.0633733455023066,-0.0633733455023065,-0.0633733455023066,-0.0633733455023066,-0.0633733455023066,-0.0633733455023065,-0.0633733455023066,-0.0633733455023065,-0.0633733455023065,-0.0633733455023065,-0.0633733455023066,-0.0633733455023065,-0.0633733455023065,-0.0633733455023067,-0.0633733455023065,-0.0633733455023065,-0.0633733455023065,-0.0633733455023067,-0.0633733455023065,-0.0633733455023064,-0.0633733455023065,-0.0633733455023068,-0.0633733455023064,-0.0633733455023065,-0.0633733455023065,-0.0633733455023067,-0.0633733455023064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea_rex,1,NA,NA,NA,NA,NA,-0.058967553152396,-0.058967553152396,-0.058967553152396,-0.058967553152396,-0.0589675531523961,-0.058967553152396,-0.058967553152396,-0.058967553152396,-0.0589675531523962,-0.058967553152396,-0.058967553152396,-0.058967553152396,-0.058967553152396,-0.0589675531523959,-0.058967553152396,-0.0589675531523959,-0.0589675531523959,-0.0589675531523962,-0.058967553152396,-0.058967553152396,-0.0589675531523959,-0.0589675531523962,-0.0589675531523959,-0.058967553152396,-0.0589675531523959,-0.0589675531523962,-0.0589675531523959,-0.0589675531523959,-0.058967553152396,-0.0589675531523962,-0.058967553152396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea_brunnata,1,NA,NA,NA,NA,NA,-0.0646555281865369,-0.0646555281865369,-0.0646555281865368,-0.0646555281865368,-0.0646555281865369,-0.0646555281865368,-0.0646555281865369,-0.0646555281865368,-0.0646555281865369,-0.0646555281865368,-0.0646555281865369,-0.0646555281865368,-0.0646555281865369,-0.0646555281865368,-0.0646555281865369,-0.0646555281865369,-0.0646555281865368,-0.0646555281865371,-0.0646555281865367,-0.0646555281865368,-0.0646555281865368,-0.064655528186537,-0.0646555281865368,-0.0646555281865368,-0.0646555281865368,-0.064655528186537,-0.0646555281865368,-0.0646555281865368,-0.0646555281865368,-0.064655528186537,-0.0646555281865368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrotriton_bromeliacius,1,NA,NA,NA,NA,NA,-0.0445736336710333,-0.0445736336710333,-0.0445736336710333,-0.0445736336710333,-0.0445736336710333,-0.0445736336710333,-0.0445736336710333,-0.0445736336710333,-0.0445736336710334,-0.0445736336710333,-0.0445736336710334,-0.0445736336710333,-0.0445736336710334,-0.0445736336710332,-0.0445736336710334,-0.0445736336710333,-0.0445736336710333,-0.0445736336710334,-0.0445736336710333,-0.0445736336710333,-0.0445736336710333,-0.0445736336710335,-0.0445736336710333,-0.0445736336710332,-0.0445736336710333,-0.0445736336710335,-0.0445736336710332,-0.0445736336710333,-0.0445736336710333,-0.0445736336710333,-0.0445736336710334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa_lincolni,1,NA,NA,NA,NA,NA,-0.00690177604117234,-0.00690177604117231,-0.00690177604117226,-0.0069017760411724,-0.00690177604117226,-0.00690177604117234,-0.00690177604117231,-0.00690177604117231,-0.00690177604117231,-0.00690177604117229,-0.00690177604117234,-0.00690177604117226,-0.00690177604117234,-0.0069017760411724,-0.00690177604117226,-0.00690177604117231,-0.00690177604117229,-0.00690177604117231,-0.00690177604117233,-0.00690177604117231,-0.00690177604117229,-0.00690177604117233,-0.00690177604117227,-0.00690177604117237,-0.00690177604117227,-0.00690177604117236,-0.00690177604117231,-0.0069017760411723,-0.00690177604117235,-0.00690177604117228,-0.00690177604117232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa_morio,1,NA,NA,NA,NA,NA,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270946,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270945,0.0203458724270946,0.0203458724270945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
