"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" -99 NA NA
"1972" -99 NA NA
"1973" -99 NA NA
"1974" -99 NA NA
"1975" -99 NA NA
"1976" -99 NA NA
"1977" -99 NA NA
"1978" -99 NA NA
"1979" -99 NA NA
"1980" 1.08447774668633 1.08447774668633 1.08447774668633
"1981" 1.17605332633613 1.17605332633613 1.17605332633613
"1982" 1.27501885257767 1.27501885257767 1.27501885257767
"1983" 1.38129204574666 1.38129204574666 1.38129204574666
"1984" 1.49448133064429 1.49448133064429 1.49448133064429
"1985" 1.61405580820181 1.61405580820181 1.61405580820181
"1986" 1.73944128560701 1.73944128560701 1.73944128560701
"1987" 1.87003348153395 1.87003348153395 1.87003348153395
"1988" 2.00529302336458 2.00529302336458 2.00529302336458
"1989" 2.14499578014387 2.14499578014387 2.14499578014387
"1990" 2.28944464755847 2.28944464755847 2.28944464755847
"1991" 1.50469587578414 0.928153235496677 2.43937056082147
"1992" 1.40248853359432 0.865107887349124 2.59552122743733
"1993" 1.30642024414524 0.753380931092485 2.41773204871967
"1994" 0.756871590285183 0.271966287094028 2.11541397057219
"1995" 0.438225659801284 0.130203314146685 1.47733854211066
"1996" 0.965389001672584 0.214918561694025 4.39792782027432
"1997" 2.12595829328492 0.322433689970894 14.0371812729544
"1998" 2.53614865509379 0.384618651043684 14.8503841627411
"1999" 3.02542738693952 0.488293740778286 19.9765202314137
"2000" 2.36778058766407 0.335693245005934 18.7637304982114
"2001" 1.79871744959124 0.245684031580486 16.6579931177887
"2002" 2.20207916156389 0.291583282369406 19.1189214796836
"2003" 1.82193508081632 0.249564745917396 16.0680129373943
"2004" -99 NA NA
"2005" -99 NA NA
"2006" -99 NA NA
"2007" -99 NA NA
"2008" -99 NA NA
"2009" -99 NA NA
"2010" -99 NA NA
"2011" -99 NA NA
"2012" -99 NA NA
"2013" -99 NA NA
"2014" -99 NA NA
"2015" -99 NA NA
"2016" -99 NA NA
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
