population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
2037,1,-0.0923520929165429,-0.0839756925888544,-0.0729982586403439,-0.0626125305045382,-0.0533933138135931,-0.044396067909604,-0.0357595734865459,-0.0289638354335913,-0.0247706769996343,-0.0221941424099756,-0.0198530057458588,-0.0173950290223961,-0.0150039794689469,-0.0122065835479255,-0.0080675029217705,-0.00250842471942292,0.00315611495484402,0.00725738060631498,0.00939654155537939,0.0112323958117777,0.0156079102477649,0.0243306307763529,0.0364507050854024,0.0490921115342,0.0602453545785111,0.0701103515838479,0.0791508422009231,0.0857669241948669,0.0874584896033794,0.0842939342865536,0.0796566271098049,0.0768566838148561,0.076176450734339,-1,-1,-1,-1,-1,-1,-1,-1,-1
11952,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.00216068689132,1.00216068689132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11969,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.280463675856093,-0.0683616771091549,0.0336421398243978,-0.198372949201483,0.380790047534447,-0.34111576674153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4733,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.268265793483391,0.269745440816277,0.267280341748203,0.255640761850316,0.235899119243505,0.214974059890909,0.199441344527209,0.190593717217645,0.185525161726444,0.181768841744947,0.179474930856044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2038,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.887377618891353,0.667851020556816,0.343193732454869,0.0945865654726208,0.0113843586081304,0.040216883099792,0.0731035179711861,0.0534870787834762,-0.00179606843813351,-0.0527533567479344,-0.0790789303330945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17783,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0438039557203838,-0.686931895687541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9074,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0784274793747306,0.0784282987422169,0.0784296802499025,0.0784311441927819,0.0784323840273236,0.0784333463693203,0.0784339942093553,0.0784341780522468,0.0784338032181608,0.0784330476276405,0.0784323035317436,0.0784318694922468,0.0784317392880003,-1,-1,-1,-1,-1,-1,-1,-1,-1
9073,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.100088247384724,0.108992213703844,0.125631114456209,0.143013764602594,0.148299293944759,0.130147946330297,0.0901481560230395,0.0471440634834885,0.0263361071346759,0.0393402585831431,0.0727548174173482,0.0986214668716263,-1,-1,-1,-1,-1,-1,-1,-1,-1
9075,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.602059991327962,0.138302698166281,-0.196294645143968,0,0.196294645143968,-0.263241434774581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9076,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.544068044350276,0,-0.0487093452260794,-0.0487093452260793,-0.0487093452260793,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7725,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.698970004336019,0.301029995663981,0.109833173457566,0.109833173457566,0.109833173457566,0.109833173457565,0.072550667148612,-0.511883360978874,-1,-1,-1,-1,-1,-1,-1,-1,-1
15285,1,-0.0792249871716879,-0.071495016668556,-0.0480032737618727,-0.0182254000034465,-0.00163114541385045,-0.00672237446594615,-0.0203440041984306,-0.0206293718904011,0.000304380532829107,0.0274332079614568,0.0357108730534428,0.012224334959126,-0.0317914098511962,-0.0692433953331246,-0.078801762809201,-0.0607461559632116,-0.032947359520989,-0.0128405544215942,-0.00492293329828186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2039,1,-0.0388699623622526,-0.0388699623622526,-0.0388699623622526,-0.0388699623622526,-0.0388699623622526,-0.0388699623622526,-0.0388699623622526,-0.0388699623622526,-0.038869962362253,-0.0388699623622526,-0.0388699623622526,-0.0388699623622526,-0.0388699623622526,-0.0388699623622526,-0.237145224465659,-0.0102321049555885,-0.0102321049555889,-0.0102321049555889,-0.0102321049555885,-0.0102321049555889,-0.0102321049555885,-0.0102321049555889,-0.0102321049555889,-0.0102321049555885,-0.0102321049555889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15286,1,-1,-1,-1,-1,-1,-1,-1,0.51295967994837,-0.485807433904755,-0.740362689494244,0.156308682208526,0.156308682208526,0.156308682208526,0.156308682208526,0.156308682208526,0.156308682208526,0.964332169779764,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15223,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0961912306505321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15284,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.56194276811998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11236,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0620566987358147,0.0620566987357991,0.0620566987358946,0.0620566987362889,0.0620566987370701,0.0620566987381026,0.0620566987390561,0.0620566987395952,-1,-1
4870,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.134146738395124,-0.0761547914174372,-1,-1,-1,-1,-1,-1,-1
23323,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0547054357637382,-0.054864916982444,-0.0540382106848694,-0.0555173278498313,-0.0537822744512937,-0.0550098262064496,-1,-1
18841,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0556264059571241,0.048904270419833,-0.218902063852224,-1,-1,-1,-1,-1
18840,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.131466914129388,-0.0150340665970174,0.0150340665970174,-1,-1,-1,-1,-1
