population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2323,1,0.00028209133049284,0.000282091330493728,0.00028209133049284,0.000282091330493728,0.00028209133049284,0.000282091330493728,0.00028209133049284,0.000282091330493728,0.00028209133049284,0.000282091330493728,0.00028209133049284,0.000282091330493728,0.00028209133049284,0.000282091330493728,0.00028209133049284,0.00451904259599534,0.00451904259599534,0.00451904259599445,0.00451904259599534,0.00451904259599534,0.00451904259599534,0.00451904259599445,0.00451904259599534,0.00451904259599534,0.00451904259599534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5654,1,-1,-1,-1,-1,-1,-0.00288753446316914,-0.00288753446316914,-0.00288753446316825,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316825,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,-0.00288753446316914,0.00784596432772666,0.00784596432772666,0.00784596432772666,0.00784596432772666,0.00784596432772666,0.00784596432772666,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15109,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0955523347195659,-0.0581114967307426,-1,-1,-1,-1,-1,-1
5659,1,-0.029065058653412,-0.0290650586534129,-0.029065058653412,-0.0290650586534125,-0.0290650586534125,-0.0290650586534125,-0.029065058653412,-0.0290650586534125,-0.0290650586534125,-0.0290650586534125,-0.029065058653412,-0.0290650586534125,-0.0290650586534125,-0.029065058653412,-0.0290650586534125,-0.0290650586534125,-0.0290650586534125,-0.029065058653412,-0.0290650586534125,-0.0290650586534125,-0.029065058653412,-0.0290650586534125,-0.0290650586534125,-0.029065058653412,-0.0290650586534125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5657,1,-0.017360965522883,-0.0173609655228821,-0.017360965522883,-0.0173609655228821,-0.017360965522883,-0.017360965522883,-0.0173609655228821,-0.017360965522883,-0.0173609655228821,-0.017360965522883,-0.0173609655228821,-0.017360965522883,-0.0173609655228821,-0.017360965522883,-0.017360965522883,-0.0173609655228821,-0.017360965522883,-0.0173609655228821,-0.017360965522883,-0.0173609655228821,-0.017360965522883,-0.0173609655228826,-0.0173609655228826,-0.0173609655228826,-0.0173609655228826,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2324,1,-0.0112968125917332,-0.0112968125917332,-0.0112968125917332,-0.0112968125917323,-0.0112968125917332,-0.012988877438592,-0.012988877438592,-0.0129888774385911,-0.012988877438592,-0.012988877438592,-0.015273538184732,-0.0152735381847329,-0.015273538184732,-0.015273538184732,-0.0152735381847329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18541,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.042414107316302,0.0335733935465012,0.0335733935465012,-1,-1,-1,-1,-1,-1
5306,1,0.0160082962777892,0.0160082962777892,0.0160082962777888,0.0160082962777897,0.0160082962777892,0.0160082962777888,0.0160082962777897,0.0160082962777888,0.0160082962777892,0.0160082962777892,0.0522878745280337,0.0522878745280337,0.0522878745280337,0.0522878745280342,0.0522878745280337,0.0522878745280337,0.0522878745280337,0.0522878745280337,0.0522878745280337,0.0522878745280337,0.0759401822836647,0.0759401822836647,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2319,1,-1,-1,0.0942198946628041,0.0676718223230512,0.0108503484385079,0.0108503484385079,-0.0229339736086214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2320,1,-1,-1,-1,0.0847910660316398,0.0847910660316398,0.0847910660316389,0.102383308755583,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
