"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Amazona_vittata","Amazona_vittata",24,1,NA,NA,NA,-0.012660098044019,0.00605537476219675,0.0299730689709192,0.0392209170631455,0.0303835765166387,0.010467901303769,-0.00483234677395927,-0.002928843899483,0.0155670265800498,0.037351126387883,0.0471837934227406,0.0417396315166214,0.0220418676905625,-0.00345952873935307,-0.0225389130917404,-0.0266439900614095,-0.014544513983795,0.0107760509202393,0.035532962560707,0.0475982591023141,0.0445356901184109,0.0326800630425774,0.0207007886734756,0.0136139494331817,0.011532613276976,NA,NA,-0.0208865128625186,-0.0208865128625186,-0.0208865128625189,-0.0208865128625186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammodramus_humeralis","Ammodramus_humeralis",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0838258615483951,0.0838258615483953,0.0838258615483949,0.0838258615483953,0.0838258615483951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anairetes_fernandezianus","Anairetes_fernandezianus",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0455632415823435,-0.0455632415823435,-0.0455632415823439,-0.0455632415823435,-0.0455632415823435,-0.0455632415823439,-0.0455632415823435,-0.0201942749546853,-0.0201942749546848,-0.0201942749546853,-0.0201942749546848,-0.0201942749546853,-0.0201942749546848,-0.0201942749546853,-0.0201942749546848,NA,NA,NA,NA,NA,NA
"Anhima_cornuta","Anhima_cornuta",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.226921962679961,0.154576116917886,-0.0907425627114155,NA,NA,NA,NA,NA,NA,NA,NA
"Anser_albifrons","Anser_albifrons",30,1,0.061695615793262,-0.0994328494999963,-0.0927361856539375,0.0969155798164136,0.274958013584262,0.233837294150265,-0.0177573009303882,-0.246576396121965,-0.23153176223274,-0.000505111216996923,0.190003811252164,0.121074660447201,-0.153617802527188,-0.355762251775829,-0.270835869730648,0.0160046468697717,0.228969768147147,0.303099838877559,0.254738938244689,0.149263382984304,0.00301725228025651,-0.156930095693346,-0.222301228238126,-0.16602678718073,-0.02570823061698,0.048248609064522,0.0182422737666088,-0.0909572901093516,-0.180270296960935,-0.224926800386176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthus_lutescens","Anthus_lutescens",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0954242509439324,-0.0954242509439326,-0.0954242509439324,-0.0954242509439325,-0.0954242509439325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antilophia_galeata","Antilophia_galeata",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0176091259055681,-0.0176091259055681,-0.0176091259055682,-0.0176091259055681,-0.0176091259055681,-0.0176091259055681,-0.0176091259055681,-0.0176091259055681,-0.0176091259055682,-0.0176091259055681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ara_ararauna","Ara_ararauna",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186720255444586,0.501427183725518,-0.234635138705484,NA,NA,NA,NA,NA,NA,NA,NA
"Aramides_cajaneus","Aramides_cajaneus",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.176091259055681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arremon_brunneinucha","Arremon_brunneinucha",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0310747744770311,-0.0310747744770311,-0.0310747744770311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arremon_flavirostris","Arremon_flavirostris",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arundinicola_leucocephala","Arundinicola_leucocephala",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0602059991327963,0.0602059991327961,0.0602059991327962,0.0602059991327962,0.0602059991327963,0.0565093179939935,0.0565093179939937,0.0565093179939935,0.0565093179939937,0.0565093179939935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asemospiza_fuliginosa","Asemospiza_fuliginosa",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0352182518111362,-0.0352182518111362,-0.0352182518111362,-0.0352182518111362,-0.0352182518111362,-0.0602059991327962,-0.0602059991327963,-0.0602059991327962,-0.0602059991327963,-0.0602059991327962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
