population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
7838,1,-0.0445027648516907,-0.0345061429512482,-0.0238768993891495,-0.0153349197516476,-0.00976415118003682,-0.00588775463369795,-0.00189492045848283,0.00261738259406674,0.00639766374382789,0.00794398419035569,0.00675734529292227,0.00338903628202181,-0.00106544895258742,-0.00524417974051228,-0.00781671910471138,-0.00813204805295609,-0.00664395193875511,-0.00445534726236874,-0.0023859188297024,-0.000548201816539806,0.00131417446966342,0.00338646234693651,0.00582370375391195,0.00908624556357562,0.0139351267220331,0.0208125027820815,0.0291565916147268,0.0375563915918958,0.0448367294090821,0.050912494540554,0.0563337512787213,0.0611261211705617,0.0645615666902868,0.0661838678019269,0.0665512861746262,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23277,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.149244139942153,0.14674837339859,0.14146339894358,0.133624913336704,0.123501874698566,0.112068742057594,0.100584637277413,0.0898888872729531,0.0799313480785822,0.0703323045637219,0.0614237435005816,0.0540571791963256,0.0479182536188989,0.0404604246099205,0.0282841976246084,0.00983750543919593,-0.0134078046110755,-0.0383735281510558,-0.0626712105607714,-0.085700841001874,-0.108244054598971,-0.131381285183173,-0.155282987631267,-0.178309568300744,-0.197331290262334,-0.20965017730834,-0.215075261931588,-0.216014736215479,-0.215455060486297,-0.215042923669979
23273,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.112200420753548,0.112200420753541,0.112200420753444,0.11220042075318,0.112200420752767,0.112200420752313,0.112200420751921,0.11220042075165,0.112200420751479,0.112200420751386,0.112200420751358,0.112200420751387,0.112200420751426,0.11220042075144,0.112200420751421,0.112200420751395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19840,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0866077292649869,-0.220300115991797,-0.312285581229129,-1,-1,-1
6108,1,0.0433947911469836,0.0994188578565431,0.133024627937155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6115,1,-0.013771449167948,-0.00596959073541858,0.00241351962185765,0.0096626846397263,0.0137269369293992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6109,1,-0.0075244302163755,0.164851884222772,0.206451959191854,0.110150869273672,-0.0423575845839936,-0.145206646344295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6107,1,-1,-1,-1,-0.00267818685941112,-0.0253394105111869,-0.0601818595473937,-0.080259680029409,-0.0540312358123991,0.0187156743306574,0.08562058582602,0.0831444819546539,0.0142966760021111,-0.0330367549793201,0.024659520987355,0.154015727531679,0.20878253209271,0.0753900808813676,-0.187137559926059,-0.386528223386155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2336,1,-1,-1,-1,-1,-1,-1,0.131153239371483,0.0756708052136894,-0.0400809492562488,-0.141320591470555,-0.124670442833861,0.000484397132191727,0.100077980361901,0.088376962874175,0.0448653469749885,0.0829453409566228,0.155291351061354,0.108281392213563,-0.0707498871588341,-0.194721082254866,-0.132326152931339,-0.0113797582466009,-0.0401062659918838,-0.183545129305804,-0.187446424177223,0.0487173539968137,0.296245667826043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2337,1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0766524592691689,-0.00556939178221039,0.0338702827333601,-0.0231981165601525,-0.0892107663104214,-0.039387395500305,0.0979339302959477,0.158852663822427,0.0619212603897494,-0.0704949524684944,-0.062872546755971,0.0830733083702893,0.180213031036223,0.081362545888229,-0.145487134733926,-0.297193696487813,-0.254525801205828,-0.0807786124061846,0.0794168544170436,0.146633740247895,0.139043478296751,0.104113914167058,0.0646523321107568,0.0275277775206424,0.00452048321192366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8405,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.179519684062041,0.175722098888645,0.155174007659551,0.11082424655291,0.052835008739742,-0.00255064050655429,-0.0491791065223173,-0.087111396975698,-0.105334259996218,-0.0827703432350255,-0.0160308767717694,0.0605005311987561,0.0956456497908476,0.0664305352582701,-0.00304486878374677,-0.0677969053198419,-0.0982002334027496,-0.0874619282244737,-0.037919890245286,0.0406138845669699,0.11814573715052,0.150004252005526,0.112380683581977,0.0303953104426664,-0.0405697517050538,-0.0638776427235255,-0.046946336001904,-0.0207840430504456,-0.00640449091893669,-1,-1,-1,-1,-1,-1,-1,-1,-1
2333,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.112131986056308,-0.0838647940109642,-0.0300022175563939,0.0319729409371834,0.0779323697652305,0.091679000174187,0.0733460160594426,0.0366661502716323,-0.00154302495190128,-0.0303265459319242,-0.0458498611124418,-0.0482101427742303,-0.0408310146856499,-0.0322141504476745,-0.0321988178257242,-0.0407812505909848,-0.0418796006708346,-0.0153000124311724,0.0404796055549084,0.100526372973289,0.134397378262699,0.135611375931417,0.125315656655026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2422,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0115103170494273,0.0118962385120889,0.0125279283756439,0.013221255961491,0.0140429369328694,0.0153153190824871,0.0172820986933377,0.0198271380567523,0.0225713457171581,0.0252185861152538,0.0277384188853844,0.0302203662839082,0.0326693706557355,0.0350406718524483,0.0374191539166211,0.0400155213352302,0.0429135788544037,0.0458724214727715,0.0484408987747456,0.0502650968045057,0.0512798472705296,0.0516674678299631,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2332,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0997716202526557,-0.122174255603601,-0.105265268250229,-0.0110373971175746,0.107060279941704,0.164217485818088,0.146087208741184,0.100657030108857,0.0383571404755225,-0.092419587521432,-0.294621394896316,-0.437863804183774,-0.361512062030921,-0.0724435882685686,0.219143707522567,0.302349431267984,0.176400858696404,0.0187010169582897,-0.0354563008487614,-0.0169113595220978,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2417,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06314835110746,0.0634102072376752,0.063850605695034,0.0642883182398624,0.0645763682234053,0.0646574608302504,0.0645129356691585,0.0641399022751528,0.0635040390226629,0.0624547513943736,0.0609213666628272,0.0589945824240976,0.0568775662538921,0.0548015532123192,0.0529592652555881,0.0514626855406966,0.0503322318894859,0.0495334475128502,0.0490335713182422,0.0488077314733251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2424,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0301362638156359,0.0301362638155935,0.0301362638155267,0.0301362638155249,0.0301362638156778,0.0301362638160012,0.03013626381652,0.0301362638173717,0.0301362638187853,0.0301362638209987,0.0301362638240862,0.0301362638278256,0.0301362638317247,0.0301362638352056,0.0301362638378464,0.0301362638395131,0.0301362638403422,0.0301362638406244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2407,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0252091755445978,-0.0669761740118991,-0.120139531177531,-0.145885506539647,-0.132652511326429,-0.0935610609134441,-0.0396005757517217,0.0279764530903095,0.0998281620988008,0.148748975725406,0.148057933782396,0.0953480416703184,0.0105812755702737,-0.0856301236564789,-0.181728318801853,-0.263872576469544,-0.310948549886126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2406,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.139080506068526,0.182968912051475,-0.481172626732213,-0.481172626732213,-0.867762024650201,0.528273777167044,0.431551231001303,0.431551231001303,0.0554485211294189,0.0554485211294191,0.0554485211294189,0.0554485211294189,0.0554485211294189,-0.607921004463132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2400,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.00341397332343107,-0.00341397332340998,-0.00341397332339821,-0.00341397332343818,-0.00341397332356852,-0.00341397332379989,-0.00341397332414095,-0.00341397332457416,-0.00341397332504756,-0.00341397332549098,-0.00341397332585336,-0.00341397332613402,-0.00341397332635474,-0.00341397332651328,-0.00341397332657278,-0.00341397332651328,-0.00341397332638516,-0.00341397332628457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23278,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.527078806535906,-0.341566714784702,-0.041987151533138,0.244159815113651,0.424409841372985,0.450879842465729,0.313689036750294,0.0884451516634797,-0.0659400382235502,-0.0347590230532198,0.132033685903187,0.265541382035987,0.235648601448008,0.0474906580029835,-0.180190665483003,-0.29664674146767,-0.221709202513166,-0.0260067055656721,0.113833454440199,0.0939486357152686,-0.0061314606120022,-0.0454625394994621,-0.0123580773107879,-0.00165560086301353,-0.0301363419090617,-0.00862082656948626,0.0766503036667623,0.0959929749010731,-0.0266829681941729,-0.167459924097344
2401,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0192626621039533,-0.0192626621038698,-0.0192626621036311,-0.0192626621031982,-0.0192626621026233,-0.0192626621020406,-0.0192626621015868,-0.0192626621013161,-0.0192626621011713,-0.019262662101053,-0.0192626621009109,-0.0192626621008092,-0.0192626621008551,-0.0192626621010854,-0.0192626621013918,-0.0192626621015966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2434,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.052706350516003,0.0395906230238123,0.0395906230238126,-0.118099312077995,-0.0368931070804595,-0.0368931070804592,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2433,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.662757831681574,0.662757831681574,-0.247784483710756,0.363177902412826,-0.574031267727719,-0.0579919469776867,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2338,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.812913356642855,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
