population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
22057,1,0.00510523932226992,0.00299398358258207,0.000443235004070619,-0.002657365464243,-0.00634313074476234,-0.0104660587964629,-0.0147708448934964,-0.0191219274595973,-0.0235975482030186,-0.0283077005990311,-0.0331709397847471,-0.0379547823878261,-0.0425421703508291,-0.0471066756208369,-0.0519979552132237,-0.0574460249029767,-0.0633354992231712,-0.0692187665700197,-0.0745573240179067,-0.0790046777046394,-0.0824957701850013,-0.0850975786726318,-0.0868469656235389,-0.0877976683536401,-0.0881812642938327,-0.0883356387606287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
861,1,0.0153958297779608,0.0138117948730803,0.0122903099462245,0.0108824492870199,0.00959655586054797,0.00842448762719106,0.0073671308546448,0.00643851355470576,0.00565775824434023,0.00503803336471464,0.00457139282919128,0.00421760803082605,0.00391367331921544,0.00360237290856114,0.00325646511635774,0.00288272258182637,0.00251141855429693,0.00217960280035628,0.00191062697544286,0.00170177931613513,0.00153711755480823,0.00141497445320993,0.00135082035472811,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
859,1,0.0632624101542318,0.0675317326389324,0.069082103931418,0.0673694979814314,0.0629991489072879,0.0570375958694802,0.0499621154239449,0.0417063016719643,0.0324905844802448,0.0228827217863898,0.0130579170354617,0.00280279739680811,-0.00753699199607372,-0.0168775328912201,-0.0245431711306097,-0.0309066843019696,-0.0363757292046376,-0.0403663245556336,-0.0420143907721027,-0.041566541536918,-0.0403681475228561,-0.039603061749121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
858,1,0.00382449087132475,0.00452138744541486,0.00520788478989775,0.00585400348580745,0.00643417007871872,0.0069481185384026,0.00741571516702066,0.0078501184979487,0.00824817150314239,0.00860894860766059,0.00894546466756019,0.00926776211198366,0.00956535693950045,0.00981832410264438,0.0100178837299234,0.010163972974258,0.0102515558996608,0.010278991605702,0.0102689725387766,0.0102604370313246,0.0102719006613645,0.0102876510156298,0.0102885500476315,0.0102807031564716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
856,1,0.0251803872608292,0.311195853082793,0.287810134844117,0.0154349165609814,-0.178788583865233,-0.150537542976176,-0.046797576414725,0.00023514270539482,0.0480819414312749,0.146579209176956,0.176512962356438,0.0386335324253757,-0.130637897739746,-0.119195052627041,0.045739940804331,0.129310816064692,0.0299474740429978,-0.0919945896299607,-0.0745316505821845,0.0163025832743725,0.0142262850779426,-0.104973532088854,-0.228293969852683,-0.282503219662523,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
854,1,0.025026613878862,0.0250266138791861,0.0250266138795259,0.0250266138798785,0.0250266138802426,0.0250266138806232,0.0250266138810149,0.0250266138814217,0.0250266138818356,0.0250266138822628,0.0250266138826882,0.0250266138831208,0.0250266138835507,0.0250266138839645,0.0250266138843527,0.0250266138847062,0.0250266138850161,0.0250266138852808,0.0250266138854931,0.0250266138856468,0.0250266138857516,0.0250266138858173,0.0250266138858484,0.0250266138858661,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
853,1,-0.925058989111353,-0.186456774527515,3.30597721467925,-1.72768689568918,-1.39595011065739,0.290564561985816,3.08161950192238,-1.81565183846911,-1.14958673048023,-0.0233010774088509,3.15593704788613,-1.2910944068762,-1.13168962490633,-0.376058894303003,3.02080700323652,-0.855585275429561,-0.897400647660656,-0.359410277439395,2.25264513745905,-0.540865832834003,-1.0490940879944,-0.849293958758066,2.68405810945221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
852,1,0.019559669817637,0.0212319659363525,0.0226964191810826,0.0239897561508071,0.0251270028203443,0.0261605057623377,0.0271615905404508,0.0281529915209831,0.0291188269630407,0.0300878549396391,0.0311420813686007,0.0323065738488602,0.033475423879918,0.0344924175727916,0.0352775564885235,0.0358329694944866,0.0361600501087418,0.0362450772778082,0.0361279028229609,0.0359138943485053,0.0356881525329937,0.0354668253926773,0.035261804754545,0.0351341142234745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
851,1,-0.00329585654755515,-0.00227212851776493,-0.00100473844829185,0.0005206888055449,0.00236431411648219,0.00452728549096904,0.00692210824056616,0.00944713957014187,0.0120519137340374,0.0147186635626637,0.0174184259420702,0.0201155674759512,0.022796333314627,0.0254630424898643,0.0281067029390085,0.0307050254448828,0.033229903498377,0.0356133069079423,0.0376975807964595,0.0392684767955194,0.0401967263612795,0.0405652348179526,0.0406329034351183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
850,1,0.281488887088398,0.534759378836967,-1.04270973374278,0.371575872152773,0.274369298801115,0.232157684169952,-1.04924465261665,0.623010816201118,0.237705366161824,0.297142992668171,-1.16259320205318,0.849283888381143,0.175974427883495,0.12217542570242,-0.908004432883737,0.674802496678828,0.209496418865886,-0.114108934290863,-0.682620318244058,1.06563187942141,0.0650365116727789,-0.257808532545059,0.245196460221173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
