"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Abrothrix_longipilis","Abrothrix_longipilis",21,1,NA,NA,NA,NA,0.138070683943207,NA,NA,NA,NA,NA,-0.0395240263205807,-0.039650179552142,-0.0401196640258166,-0.0411067368405753,-0.0426258317082788,-0.0446363228424294,-0.0471613518109499,-0.0502567598413965,-0.0539335060161856,-0.0581666556979756,-0.0628810429055391,-0.0677774122541559,-0.0721913529068832,-0.0753188129073449,-0.0767436539452723,-0.0767633786823771,-0.0761722300443755,-0.0757158696168617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrothrix_olivaceus","Abrothrix_olivaceus",24,1,NA,NA,NA,NA,-0.510506451379062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.268944671067349,-0.204489305807457,-0.0916434684265097,0.0164185430140235,0.0557422063326822,0.00526808940625534,-0.0860878013077491,-0.141050093501885,-0.130604166844403,-0.0980543672528135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akodon_azarae","Akodon_azarae",28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313640344813399,0.309481441637268,-0.207605620145293,0.300766168256856,-0.235720628611522,-0.00462075790278121,0.00427381783305542,0.0158605174620136,0.0280371042250879,-0.0159651271547471,-0.0135482610292961,-0.0177215914738786,-0.0258098334785554,-0.034408224019174,-0.00276980537089444,-0.0108555541865381,-0.0137751226792893,-0.013336003797993,-0.0121723246376169,NA,NA,NA,NA,NA,NA,NA,NA
"Akodon_cursor","Akodon_cursor",15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0477475007610023,0.0535108052202455,-0.0477475007599673,-0.0477475007596585,-0.0477475007598636,-0.0477475007603797,-0.0477475007607747,NA,NA,NA,0.477121254719662,0.221848749616356,0.0791812460476249,-0.380211241711606,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akodon_montensis","Akodon_montensis",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0357155522665344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alouatta_caraya","Alouatta_caraya",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0051383522528341,0.00513835225283454,0.0051383522528341,0.0051383522528341,0.00513835225283454,0.0051383522528341,0.00513835225283454,0.0051383522528341,0.0051383522528341,0.00513835225283454,0.0051383522528341,0.00513835225283454,0.0051383522528341,0.0051383522528341,0.00513835225283454,0.0051383522528341,0.0051383522528341,0.00513835225283454,0.0051383522528341,0.00513835225283454,0.0051383522528341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alouatta_palliata","Alouatta_palliata",17,1,NA,NA,-0.0499279712729714,-0.0499279712729717,-0.0499279712729712,-0.0499279712729717,-0.0499279712729714,-0.0499279712729714,-0.0499279712729717,-0.0499279712729714,-0.0499279712729717,-0.0499279712729714,-0.0499279712729717,1,0.106455330914287,0.0029712395157655,-0.135596804790357,0.229336771008906,-0.0148112333034005,-0.0148112333034005,0.0302375945847105,0.0302375945847106,-0.0276503377948538,-0.0276503377948538,0.00556612277683621,0.00556612277683666,0.0055661227768371,0.00556612277683621,0.00556612277683666,NA,NA,NA,NA,NA,NA,NA,0.061269656738923,NA,NA,NA,NA,NA,NA,NA,NA
"Alouatta_seniculus","Alouatta_seniculus",28,1,0.0240286974708956,0.0202890613313653,0.0139312968207306,0.0094414350128158,0.00794098367604112,0.0094299428104252,0.0149470673511121,0.0276827107689339,0.0426690381255348,0.049324410958409,0.0413998124117207,0.0220143203916714,0.00774533858453008,0.00273721791186254,0.00663667437410309,0.0163304333350918,0.0234003150309876,0.0213620714681295,0.0113022867034474,-0.000771177242300691,-0.0114676699674057,-0.0240057535222409,-0.0439128320292266,-0.0706901827617976,-0.0947131686549767,-0.103993426864518,-0.0953090533726249,-0.0788281040418406,-0.0690204710365216,NA,NA,NA,NA,0.00721018765434819,0.0597160222477161,0.0973878545430749,-0.130196906414805,NA,NA,NA,NA,NA,NA,NA,NA
"Ardops_nichollsi","Ardops_nichollsi",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250301175284593,0.250301175284593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ateles_belzebuth","Ateles_belzebuth",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207960202662785,0.207960202662785,0.207960202662785,NA,NA,NA,NA,NA,NA,NA,NA,NA
