"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Boiga_irregularis","Boiga_irregularis",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107278435542772,0.107278435542528,0.107278435542133,0.107278435541748,0.10727843554148,0.107278435541325,0.107278435541173,0.107278435540941,0.107278435540668,0.107278435540485,NA,NA,NA,NA,NA,NA,NA,NA
"Borikenophis_portoricensis","Borikenophis_portoricensis",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0779813982695146,0.0779813982695146,-0.0377034444947388,-0.0377034444947384,0.0859900335998991,-0.00893808778778293,-0.0150347719004729,-0.0280872795656948,-0.0280872795656948,NA,NA,NA,NA,NA,NA,NA
"Bothrops_insularis","Bothrops_insularis",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00526443337181304,0.00526443337181259,-0.0695584497493535,-0.069558449749354,-0.0695584497493535,-0.0695584497493535,0.0889410833367812,0.151267675330649,NA,NA,NA,NA,NA,NA,NA
"Brachylophus_vitiensis","Brachylophus_vitiensis",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.406456678321428,-0.406456678321428,0.0768163071260913,0.0768163071260912,0.0768163071260914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caiman_crocodilus","Caiman_crocodilus",29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0341952961103027,NA,NA,NA,NA,NA,NA,NA,-0.141425116683228,-0.112765402018586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244016160129604,0.0703725437020614,-0.270946766431218,0.488580719331623,-0.0228385613402471,-0.0228385613434234,-0.0228385613451428,-0.0228385613454769,-0.0228385613452938,NA,NA,NA,NA
"Caiman_latirostris","Caiman_latirostris",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.284408543837384,-0.180894691453024,0.0919848956757434,0.0919848956757434,0.0919848956757434,-0.210858441914684,0.119071913760423,0.119071913760423,0.178957498238682,-0.253974110589861,NA,NA,NA,NA,-0.781617306146489,NA,NA,NA,NA,NA,NA
"Caiman_yacare","Caiman_yacare",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218214464961262,-0.00736109964636912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callagur_borneoensis","Callagur_borneoensis",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103347172754657,0.103347172754658,0.103347172754657,0.103347172754658,0.103347172754657,-0.037307112682873,-0.037307112682873,-0.037307112682873,-0.037307112682873,-0.0319401685735023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callisaurus_draconoides","Callisaurus_draconoides",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00683942453030548,-0.00683942453030548,0.294081135708653,-0.0365168338257625,-0.57978359661681,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caretta_caretta","Caretta_caretta",666,1,0.0374402732184471,0.0364746777923803,0.0216992827953346,0.00606540592218674,0.0041322526837683,0.00222216416898968,0.000377116299216477,-0.016941765151348,-0.0179782799298441,-0.0226851665730543,-0.022935644539063,-0.0187126169014517,-0.0149117983089524,-0.0175275607597345,0.00171512949832798,-0.00451985082003767,0.0502467479305185,-0.0523700970803211,0.0114937228678688,0.00980372758346858,0.00712558640258187,0.00578158888985532,0.00622444382855488,0.00251981328955227,0.00296680206387206,-0.00735003052803284,-0.00524905033238384,0.0271049205365982,0.0183359818255709,0.0205596808833404,0.00139588639958643,-0.031033459519034,0.00692384395608447,-0.0768013515104595,0.0508649474837338,0.0731149041490848,0.155014727711845,-0.00697620777597722,0.0430094767005589,0.00542200703252566,0.0250099035385263,0.0309215522209112,0.0494801188085753,0.00670351884600517,0.032184657679683,0.0321285023681461,NA
"Casarea_dussumieri","Casarea_dussumieri",9,1,NA,NA,NA,NA,NA,-0.0295124898228225,-0.0295124898228225,-0.0295124898228224,0.130408586269623,0.130408586269623,0.130408586269622,0.130408586269623,0.0197528083560054,0.0197528083560054,0.0197528083560054,0.0197528083560055,0.0197528083560054,0.0197528083560054,0.0197528083560054,-0.00309013999587213,-0.00309013999587206,-0.00309013999587211,-0.00309013999587215,-0.00309013999587202,-0.00309013999587211,-0.00309013999587214,-0.0177845383807291,-0.0177845383807291,-0.0177845383807289,-0.0177845383807291,-0.0177845383807291,-0.0177845383807291,-0.0177845383807291,-0.0177845383807289,-0.0177845383807291,-0.0177845383807291,-0.0177845383807289,-0.0177845383807291,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelonia_mydas","Chelonia_mydas",727,1,-0.00849217478292038,0.00361633599298772,0.00344326203187926,0.0114190829637598,0.0119145104294666,0.0120929192015474,0.0174979350637227,0.0292895199127619,0.0203005495373864,0.0188221520319402,0.0272466900839356,0.0106741563057698,0.0201864399730741,0.0217305642212492,0.00346971916877065,0.0192308344714735,0.0292441374822997,-0.0360603134639503,0.0332987152612101,0.0330502271852491,0.0334961195377451,0.003768403877217,0.0119748794502372,0.0219221832267034,-0.0184791791247452,-0.0406072901910399,-0.0348125594741159,0.0758342781229921,-0.0344614460619745,0.053671169806426,-0.0994960351755631,0.072897414469813,-0.0579474043099415,0.0770078663904327,-0.027458614899235,0.0584328470670648,-0.191915047073071,0.28897150506852,-0.163788250110901,0.073713534009159,0.256533093092016,NA,0,NA,NA,NA,NA
"Chelydra_serpentina","Chelydra_serpentina",110,1,NA,NA,-0.00801830827608663,-0.00801830827608674,-0.00801830827608663,-0.00801830827608663,-0.0304492054210199,-0.0183279106764002,0.0256329306740051,0.0115831205835893,0.0228027953845735,0.0172137222778403,0.00622130947756488,-0.0103796492698428,-0.0723947438201562,-0.0108678352184945,-0.0488480153786475,-0.115323331356471,-0.0397905236005182,0.0153459550703601,0.0267724458685686,0.0215283223608142,0.00898469741594599,0.00684526483007512,0.0169790051614738,0.0245537784055825,0.0208020907162313,0.0148971541504348,0.0185211167476421,0.0284457420391564,0.0329454506481418,0.0481404160897795,0.042411830782323,0.0425804140649287,0.00112529127395788,-0.00636477525652124,-0.00806193186647897,0.00495299182971665,0.018747829768621,0.0184153022465159,0.011754402223946,0.0139072254531702,0.0215739500291923,NA,NA,NA,NA
"Chlamydosaurus_kingii","Chlamydosaurus_kingii",18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0643250617755452,0.064325061775545,-0.111019392195682,-0.111019392195682,-0.0474685027201369,-0.307759393900094,-0.155546473309924,-0.0549313671377298,-0.062899281472431,-0.138302698166282,NA,NA,NA,NA
"Chrysemys_picta","Chrysemys_picta",37,1,NA,NA,-0.0042655063746162,-0.00426550637461631,-0.0042655063746162,-0.0042655063746162,-0.00426550637461631,-0.00426550637461631,-0.00426550637461631,-0.0042655063746162,-0.0042655063746162,-0.00426550637461631,-0.00426550637461631,-0.0042655063746162,-0.00426550637461631,-0.0042655063746162,-0.0042655063746162,-0.00426550637461631,-0.00426550637461631,-0.0042655063746162,-0.00426550637461631,-0.0042655063746162,-0.0194578763764784,-0.0194578763767177,-0.0194578763770992,-0.0194578763774724,-0.0194578763777889,-0.019457876378126,-0.019457876378558,-0.0194578763790549,-0.0194578763794969,-0.00122779210205378,-0.0507985180079043,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.579898212666187,0.470368159344404,NA,NA,NA
