Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Phalacrocorax_carbo,1,-0.514623924465595,0.0535935779853631,0.053593577985363,0.0535935779853631,0.053593577985363,0.0936985540665136,0.0936985540665137,0.119104011791202,0.0811239621205569,-0.0193779218605336,-0.0967499655295312,-0.0636133726866212,-0.0636133726866212,-0.0636133726866212,-0.0275306233528748,-0.0339567133771617,-0.0443376178778208,-0.0528154270950628,-0.0548532266746942,-0.051913411535914,-0.0506347638929613,-0.0563366069394927,0.250661815175378,-0.0463227333192103,-0.0450507798715374,-0.036817262398929,-0.0953794983435506,0.0337256532749715,0.0663067377117299,-0.0661425781056558,0.0331121894026568,-0.217614819154541,-0.112437915558273,0.38405538568264,-0.0926764708913285,-0.0971276829600286,0.0157457491494177,0.0381331546646563,-0.0191262400632097,-0.0191262400632095,-0.0191262400632097,-0.0191262400632097,0.0921450216518138,0.0921450216518138,0.0921450216518136,0.0921450216518138,0.0921450216518136
Haliaeetus_vocifer,1,0.0050490992263259,0.00504909922632613,0.00504909922632635,0.0050490992263259,0.00504909922632613,0.0044160306872757,0.00441603068727603,0.00441603068727603,0.00441603068727592,0.00441603068727592,0.00441603068727581,0.00441603068727592,0.00441603068727603,0.00441603068727592,0.00441603068727603,0.00420258407435248,0.00420258407435214,0.00420258407435248,0.00420258407435248,0.00420258407435248,-0.00803344537101502,-0.00597516971557318,-0.00598859985096648,-0.00582575801988228,-0.00539746144663755,-0.0040547116248811,-0.00284981354857342,-0.00156321455877713,-0.000439169453794482,0.000493603996153132,0.0128793657303548,0.0142329789960402,0.0154256501291716,0.0161015006491666,0.00706058647770313,0.00881332860745321,0.00881332860799056,0.00881332860855366,0.00881332860890671,NA,NA,NA,NA,NA,NA,NA,NA
Pelecanus_rufescens,1,0.00475792803193742,-0.00306698877138449,-0.00306698877138449,-0.00306698877138456,-0.00306698877138449,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00539441952268701,-0.00553846531544178,-0.00553846531544178,-0.00553846531544178,-0.00553846531544163,-0.00553846531544178,-0.00553846531544163,-0.00553846531544178,-0.00553846531544178,-0.00553846531544178,-0.0451561228017313,-0.0468089717816248,-0.0295240924125218,-0.0100515444050337,0.00735214295698835,0.0201260920763056,0.025614844572153,0.02490251058619,0.0163040266907539,0.00254068818054387,-0.00666395506292202,-0.0635293582582352,-0.0622357534597389,-0.0608121318887944,-0.0358919149020545,NA,NA,NA,NA,NA,NA,NA,NA
Pelecanus_onocrotalus,1,NA,NA,NA,NA,0.11094719320512,0.110947193205121,0.11094719320512,0.11094719320512,0.110947193205121,0.110947193205121,0.11094719320512,0.11094719320512,0.110947193205121,0.11094719320512,0.110947193205121,0.11094719320512,0.110947193205121,0.11094719320512,0.11094719320512,-0.0681601792456656,-0.0681601792456661,-0.0681601792456661,-0.0681601792456661,-0.0681601792456661,-0.0681601792456661,-0.0681601792456661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoeniconaias_minor,1,NA,NA,NA,NA,NA,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.0051957787515029,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.0051957787515029,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.0051957787515029,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.00519577875150379,-0.0051957787515029,-0.00519577875150379,NA,NA,0.181405527262352,0.268552141656108,NA,0.368595689852285,-0.235149863618864,-0.650347126756007,-0.263731541147289,0.467173176368381,0.632477651278109,0.114271953130335,-0.317243669299246,-0.132730847543633,0.272866334522468,NA,NA,NA,NA,NA,NA,NA,NA
Larus_cirrocephalus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0716979925962898,0.0716979925962972,0.0716979925962965,0.0716979925962743,0.0716979925962445,0.0716979925962362,0.0716979925962689,0.0716979925963521,0.0716979925965018,0.0716979925967562,0.0716979925971439,0.0716979925976582,0.0716979925982457,0.046191972169108,-0.0429686123949301,0.0985856690994875,0.0985856690997342,0.098585669099945,0.0985856691001091,0.0985856691002219,0.0985856691002857,0.0985856691003089,0.0985856691003085,0.0985856691003026,0.353613473217811,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bugeranus_carunculatus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-0.109100085220502,-0.109100085220501,-0.040506341447716,-0.040506341447716,-0.0405063414477156,-0.0405063414477156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ephippiorhynchus_senegalensis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0889410833367812,0.0737862141609187,-0.226396377367077,0.136219747017989,0.283996656365201,-0.0655015487564323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charadrius_pecuarius,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00119964016137108,0.00093024579605705,0.103758374973831,0.0974758012447623,-0.256850819818198,0.155154762919875,0.0298351403924113,0.0261228316640357,0.0269436786207703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Podiceps_nigricollis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0651445901680581,-0.0651445901680585,-0.0651445901680585,-0.0651445901680581,0.104944036493432,-0.281102030379407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
