population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
720,1,0.013451836819478,0.013451836819478,0.013451836819478,0.013451836819478,0.0134518368194783,0.0134518368194778,0.0134518368194783,0.013451836819478,0.013451836819478,0.013451836819478,0.013451836819478,0.013451836819478,0.013451836819478,0.0134518368194783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
719,1,0.0226303044890868,0.0226303044890865,0.0226303044890865,0.0226303044890868,0.0226303044890865,0.0226303044890868,0.0226303044890865,0.0226303044890868,0.0226303044890865,0.0226303044890868,0.0226303044890865,0.0226303044890868,0.0226303044890865,0.0226303044890868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
718,1,-0.00326839218290531,-0.00326839218290542,-0.00326839218290531,-0.00326839218290542,-0.00326839218290542,-0.00326839218290531,-0.00326839218290531,-0.00326839218290542,-0.00326839218290531,-0.00326839218290531,-0.00326839218290542,-0.00326839218290542,-0.00326839218290531,-0.00326839218290542,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
717,1,-0.016319952036812,-0.0163199520368122,-0.016319952036812,-0.016319952036812,-0.0163199520368122,-0.016319952036812,-0.016319952036812,-0.0163199520368122,-0.016319952036812,-0.0163199520368122,-0.016319952036812,-0.016319952036812,-0.0163199520368122,-0.016319952036812,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
716,1,0.00380325085380173,0.00380325085380195,0.00380325085380173,0.00380325085380173,0.00380325085380195,0.00380325085380173,0.00380325085380173,0.00380325085380173,0.00380325085380173,0.00380325085380195,0.00380325085380173,0.00380325085380173,0.00380325085380195,0.00380325085380173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
715,1,0.00161885604542444,0.00161885604542467,0.00161885604542444,0.00161885604542467,0.00161885604542444,0.00161885604542467,0.00161885604542444,0.00161885604542467,0.00161885604542444,0.00161885604542467,0.00161885604542444,0.00161885604542467,0.00161885604542444,0.00161885604542467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
714,1,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-0.118391485612001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
713,1,0.0448849235750223,0.0448849235750223,0.0448849235750223,0.0448849235750222,0.0448849235750223,0.0448849235750223,0.0448849235750223,0.0448849235750222,0.0448849235750223,0.0448849235750224,0.0448849235750222,0.0448849235750222,0.0448849235750224,0.0448849235750222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
712,1,-0.0523138399873551,-0.0523138399873548,-0.0523138399873548,-0.0523138399873548,-0.0523138399873551,-0.0523138399873548,-0.0523138399873548,-0.0523138399873548,-0.0523138399873551,-0.0523138399873548,-0.0523138399873548,-0.0523138399873548,-0.0523138399873551,-0.0523138399873548,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
711,1,-0.015365383354099,-0.0153653833540992,-0.0153653833540992,-0.015365383354099,-0.0153653833540992,-0.0153653833540992,-0.0153653833540992,-0.015365383354099,-0.0153653833540992,-0.0153653833540992,-0.015365383354099,-0.0153653833540992,-0.0153653833540992,-0.0153653833540992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
710,1,0.0295322982035919,0.0295322982035917,0.0295322982035917,0.0295322982035919,0.0295322982035917,0.0295322982035919,0.0295322982035917,0.0295322982035917,0.0295322982035919,0.0295322982035917,0.0295322982035917,0.0295322982035919,0.0295322982035917,0.0295322982035919,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
709,1,0.0093095548925004,0.00930955489250063,0.0093095548925004,0.0093095548925004,0.00930955489250063,0.0093095548925004,0.0093095548925004,0.0093095548925004,0.0093095548925004,0.0093095548925004,0.0093095548925004,0.0093095548925004,0.0093095548925004,0.00930955489250063,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
708,1,0.0152771299960772,0.0152771299960772,0.015277129996077,0.0152771299960772,0.0152771299960774,0.0152771299960772,0.0152771299960772,0.0152771299960772,0.0152771299960772,0.0152771299960772,0.0152771299960772,0.0152771299960772,0.0152771299960772,0.0152771299960772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
707,1,-0.00692214378628986,-0.00692214378628964,-0.00692214378628986,-0.00692214378628964,-0.00692214378628964,-0.00692214378628986,-0.00692214378628986,-0.00692214378628964,-0.00692214378628986,-0.00692214378628964,-0.00692214378628986,-0.00692214378628964,-0.00692214378628964,-0.00692214378628986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
706,1,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,0.00172383426547995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
705,1,-0.0158463392583112,-0.015846339258311,-0.0158463392583112,-0.0158463392583112,-0.015846339258311,-0.0158463392583112,-0.0158463392583112,-0.015846339258311,-0.0158463392583112,-0.0158463392583112,-0.015846339258311,-0.0158463392583112,-0.0158463392583112,-0.015846339258311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
704,1,0.0173598606204496,0.0173598606204496,0.0173598606204496,0.0173598606204497,0.0173598606204496,0.0173598606204496,0.0173598606204496,0.0173598606204496,0.0173598606204496,0.0173598606204496,0.0173598606204497,0.0173598606204496,0.0173598606204496,0.0173598606204496,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
703,1,0.0430042850948544,0.0430042850948544,0.0430042850948545,0.0430042850948544,0.0430042850948544,0.0430042850948544,0.0430042850948544,0.0430042850948544,0.0430042850948545,0.0430042850948545,0.0430042850948544,0.0430042850948544,0.0430042850948544,0.0430042850948544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
702,1,0.00559949911086077,0.00559949911086077,0.00559949911086077,0.00559949911086088,0.00559949911086077,0.00559949911086077,0.00559949911086088,0.00559949911086066,0.00559949911086077,0.00559949911086088,0.00559949911086088,0.00559949911086066,0.00559949911086088,0.00559949911086077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
701,1,-0.034080089622833,-0.034080089622833,-0.034080089622833,-0.034080089622833,-0.034080089622833,-0.0340800896228329,-0.034080089622833,-0.034080089622833,-0.034080089622833,-0.034080089622833,-0.034080089622833,-0.034080089622833,-0.034080089622833,-0.034080089622833,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
700,1,-0.0663870661224495,-0.0663870661224495,-0.0663870661224495,-0.0663870661224494,-0.0663870661224495,-0.0663870661224495,-0.0663870661224495,-0.0663870661224495,-0.0663870661224495,-0.0663870661224495,-0.0663870661224495,-0.0663870661224494,-0.0663870661224496,-0.0663870661224494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
699,1,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-0.0145799987611375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
698,1,-0.0104377168341598,-0.0104377168341598,-0.0104377168341598,-0.0104377168341598,-0.0104377168341598,-0.0104377168341598,-0.0104377168341598,-0.0104377168341598,-0.0104377168341598,-0.0104377168341601,-0.0104377168341598,-0.0104377168341598,-0.0104377168341598,-0.0104377168341598,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
697,1,-0.0616051525774057,-0.0616051525774055,-0.0616051525774057,-0.0616051525774057,-0.0616051525774057,-0.0616051525774055,-0.0616051525774057,-0.0616051525774057,-0.0616051525774057,-0.0616051525774055,-0.0616051525774057,-0.0616051525774057,-0.0616051525774057,-0.0616051525774057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
696,1,-0.0215021425474271,-0.0215021425474273,-0.0215021425474271,-0.0215021425474273,-0.0215021425474271,-0.0215021425474273,-0.0215021425474272,-0.0215021425474272,-0.0215021425474273,-0.0215021425474272,-0.0215021425474272,-0.0215021425474271,-0.0215021425474272,-0.0215021425474273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
