Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Pulchrana_signata,1,0.0109379163752198,0.0109379163752197,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752197,0.0109379163752198,0.0109379163752198,0.0109379163752199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes_ibanorum,1,-0.00363261504586195,-0.00363261504586188,-0.00363261504586195,-0.00363261504586188,-0.00363261504586195,-0.00363261504586188,-0.00363261504586195,-0.00363261504586195,-0.00363261504586195,-0.00363261504586188,-0.00363261504586195,-0.00363261504586188,-0.00363261504586195,-0.00363261504586188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana_hosii,1,-0.0419401340081114,-0.0419401340081112,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,-0.0419401340081114,-0.0419401340081112,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chalcorana_chalconota,1,0.00782548991399779,0.00782548991399771,0.00782548991399764,0.00782548991399779,0.00782548991399771,0.00782548991399771,0.00782548991399764,0.00782548991399771,0.00782548991399771,0.00782548991399764,0.00782548991399771,0.00782548991399771,0.00782548991399764,0.00782548991399779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes_blythii,1,0.0033596068250891,0.00335960682508918,0.00335960682508903,0.00335960682508918,0.00335960682508925,0.0033596068250891,0.0033596068250891,0.00335960682508918,0.0033596068250891,0.00335960682508918,0.0033596068250891,0.00335960682508918,0.00335960682508918,0.0033596068250891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rentapia_hosii,1,0.0148392688189976,0.0148392688189977,0.0148392688189976,0.0148392688189976,0.0148392688189977,0.0148392688189976,0.0148392688189976,0.0148392688189977,0.0148392688189976,0.0148392688189976,0.0148392688189977,0.0148392688189976,0.0148392688189976,0.0148392688189977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingerophrynus_divergens,1,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559862,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559862,-0.0142402952559861,-0.0142402952559861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phrynoidis_aspera,1,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725822,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725822,-0.0304682605725823,-0.0304682605725822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meristogenys_phaeomerus,1,-0.0398901307792032,-0.0398901307792031,-0.0398901307792032,-0.0398901307792032,-0.0398901307792032,-0.0398901307792031,-0.0398901307792033,-0.0398901307792032,-0.0398901307792033,-0.0398901307792032,-0.0398901307792032,-0.0398901307792032,-0.0398901307792032,-0.0398901307792033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philoria_frosti,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0834092735751525,-0.170222053964499,-0.170222053964499,-0.170222053964499,-0.170222053964499,-0.170222053964499,-0.170222053964499,-0.170222053964499,-0.170222053964499,-0.170222053964499,-0.0475873645294654,0.12500428375658,-0.315977546586946,-0.871421727243582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiopelma_archeyi,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17400961446174,0.152982541749309,0.114037764384073,0.0641910046630141,0.00755534156933635,-0.0537676384182477,-0.113703635741126,-0.1620961000016,-0.191744724773052,-0.203684021168065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudophryne_pengilleyi,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.290958313281616,-0.119140883357003,-0.118411388947228,-0.0256919334886919,-0.00161108149146993,0.0290463868232471,-0.000964643744326976,-0.0512109629337525,-0.0662838874738553,-0.0837008131788118,-0.0435916707102111,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudophryne_corroboree,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.585952230311255,-0.29270820314245,-0.0278475044375527,-0.0278475044376181,-0.0278475044378649,-0.0278475044383618,-0.0952196594515496,-0.285973741115193,0.184021568318409,-0.00660310139782979,-0.112662286237658,0.0930151931855445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiopelma_pakeka,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013839072160194,0.0150216898325765,0.0150216898325766,0.0150216898325769,0.0150216898325765,0.0138396614664755,0.0238953526499011,0.0238953526499011,-0.0227731648625666,-0.00678213980702195,-0.0132691682954181,0.0178963921653756,-0.0282820612850358,-0.0346316988728708,-0.019839615367014,-0.019839615367014,-0.019839615367014,-0.0294339272670283,-0.188811166428565,-0.188811166428565,NA,NA,NA,NA,NA,NA
Ranoidea_genimaculata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.299394298030734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranoidea_rheocola,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taudactylus_acutirostris,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
