"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Acrocephalus_agricola","Acrocephalus_agricola",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0579919469776868,0.166947879615811,-0.166947879615811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acrocephalus_arundinaceus","Acrocephalus_arundinaceus",121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00510052700042407,0.00510052700042407,0.0278711875572381,-0.0224599713885707,-0.0100929611149405,0.0128525466280132,0.0383109710856266,0.0543735677454981,0.0515101451150838,0.0298433832287489,0.0016256065545787,-0.0218212348289563,-0.023372595429732,-0.0263374601096772,-0.0140744015610075,-0.0024845089693963,-0.00686310113885975,-0.0063166875129487,-0.00765824272816663,0.00550223739547895,0.0485438507653887,0.0244762408826734,0.0467021937613061,0.0138216743362061,0.0282239961678507,0.0285039322736853,0.0285454176096537,0.00412253994986258,-0.0118278976054449,-0.0158377437435864,-0.0112032145217119,-0.0078364349776727,-0.0100385060928285,-0.0147686983331003,-0.017884874064592,0.00548885201358879,0.00506443441466403,0.00484512278212812,NA
"Acrocephalus_dumetorum","Acrocephalus_dumetorum",17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0435908614111007,-0.0433569264171123,-0.0428257110314028,-0.0419812455186772,-0.0408432503388769,-0.0394438585101602,-0.0378020704073805,-0.03585834005824,-0.0334321580294434,-0.0303280837495524,-0.026588975259102,-0.022676282128168,-0.0193287090365011,-0.0171273346250654,-0.0161208079486698,-0.0158620196097844,NA,NA
"Acrocephalus_melanopogon","Acrocephalus_melanopogon",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0467829415882348,0.0387030571392915,0.0248111785017291,-0.00991221140337917,-0.0155831189017066,-0.0188367995513183,-0.0201160105545555,-0.0298889555245014,-0.0298889555245019,-0.0298889555245014,-0.0298889555245019,-0.0298889555245019,-0.0298889555245014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acrocephalus_schoenobaenus","Acrocephalus_schoenobaenus",39,1,-0.0149573393372013,-0.016494447918848,-0.00820567830717156,0.00808050163598972,0.0231542064407382,0.03074819468039,0.0323987327661288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243060220495044,0.230672948670899,0.207727395722906,0.108826249284217,0.0954189925424436,0.0833978388144574,0.072065229852654,0.060380294841833,0.0482317821705217,0.0368376091045692,0.0187626620744336,0.00995188348727638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acrocephalus_scirpaceus","Acrocephalus_scirpaceus",181,1,0.0595009778936402,0.0708474959210581,0.0770556525252846,0.069207722748549,0.0477736375916478,0.0321034521200508,0.025916741808943,0.0441699438919945,0.0454928339377028,0.0441164892526797,0.0193317063908945,0.0132675859178619,-0.00070744208978298,0.000973592935226225,0.000290482159417627,0.00198729847860049,0.00384471278609055,0.00452353856144391,0.00505072112394725,0.006829585414525,-0.000194486900244373,0.00942352443287986,0.0190480434657912,0.0169348920139049,0.00166053619478966,-0.0105009981341982,-0.0150800148743024,0.0475806134659402,0.0544305592234508,0.040736108284514,0.0193041093977167,0.013317067535148,0.013497812827166,0.0173434302915348,-0.0175270784773103,-0.0242342887991373,-0.00474860807014528,0.00373788998794678,0.0122563440724812,0.0143495177860748,0.00947643248892863,0.00420923492248148,0.00339845355573019,0.00483265845258958,0.017595403269045,0.0138449044947732,0.0111531585399773,NA
"Actitis_hypoleucos","Actitis_hypoleucos",126,1,NA,NA,NA,NA,-0.00775546994232101,-0.0642376829231356,-0.0512454034858794,-0.026929847797865,-0.000674702472059807,0.0148261604013949,0.0123372500689104,-0.00377372282792865,-0.0196934374101968,-0.0068112753022844,0.000657845361006252,0.0100666562504118,0.0124869348805942,0.254043076463611,0.219597250060122,0.108157197823674,0.0260368684608503,0.00795423316508603,0.0282515220914003,0.0538882821614433,0.0429852425126638,0.0267034607014969,0.00678149740327841,-0.00702553150398006,0.00501545456325363,0.0343896145718929,0.0549805352796162,0.0746992921488917,0.0828533446764701,0.0154687474630923,-0.00854195275584629,-0.0208302834353091,-0.0011603701990861,-0.00291971548609726,-0.00195977207961795,-6.85262492938765e-05,0.00111695693873637,0.00140195684778099,NA,NA,NA,NA,NA,NA
"Alcedo_atthis","Alcedo_atthis",64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108137047087314,0.107986483231695,0.106003131546131,0.062373552816297,0.0554064826206878,0.0192882141151911,-0.0854535708145998,0.0207760590915565,0.174034606916963,-0.0351604178367511,-0.0210465346294446,0.0683077025655312,0.0557803466629509,0.198263321932976,0.0118518213860513,-0.0238188376836352,-0.0389265811145604,-0.0174943195560135,-0.0133285969755026,-0.00860849490032467,-0.00435916894139998,-0.00120656178426271,0.000410818390842893,NA,NA,NA,NA,NA,NA
"Anas_acuta","Anas_acuta",371,1,0.000322577289331475,0.104962818502696,0.0153090469439487,0.0218648361971268,0.0091045484693612,0.00167602296324709,-0.00286159409841092,-0.00462690528816768,-0.0212566523894521,-0.02236764359162,-0.0195477924974074,-0.0108907516893506,0.00637883661348322,-0.00585479061143288,-0.0785545572970477,0.0959356182361859,-0.156058726734268,0.0240700148650349,0.0257993300470426,0.110818770080196,-0.0615201724091833,-0.0950851241463818,-0.0127553677976577,0.0470030818856164,-0.024520383654435,-0.00683187865799323,0.0709122352460687,-0.0564073567430406,0.0959233182321789,0.0423278640331646,0.0156528868269202,0.0207756503222846,0.0278057099462548,0.037773980805781,0.044988263696938,0.0153603909998181,0.0162773551308444,0.016492871371023,-0.0266142757797643,-0.00714872046713189,-0.00732637196088093,-0.00736013743415986,NA,NA,NA,NA,NA,NA
"Anas_crecca","Anas_crecca",451,1,-0.0470449707746403,0.273013334359255,-0.0338681191956088,0.0941008923210728,0.0583495719737876,0.0261669953170123,0.009957247507645,0.00663811295075496,0.00992223287757192,0.0179852758107666,0.0271095147269246,0.0267772539997532,0.0238073934971037,-0.0698161913987219,0.000538857365982415,0.0121456390112943,-0.0350047871675584,0.00349189005110334,0.0106104465021785,0.0699532570510031,-0.0418269707679527,-0.059238100792536,-0.013166871084326,0.0398791301536157,-0.0748743810200728,-0.00229935577271684,0.082648043530606,0.0046022249282659,0.104936202364682,-0.0254607781400199,0.0770370450300872,0.0293702439715406,-0.0415788235473797,-0.000952722909390161,0.00684689414957297,0.0173433554999193,0.0187964279852923,0.0306243925763603,0.014200543588508,-0.0129089231467744,-0.0382025886940864,-0.0363133993561489,0.0502360280847181,0.0720097135661559,NA,NA,NA,NA
