Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Loxodonta_africana,1,-0.0103236463378463,-0.0195110898061893,-0.0234484030471479,-0.0099940368957203,-0.0225388009707446,-0.00184854390656766,-0.0164686312764786,-0.0273207144837182,-0.0428375708408596,-0.0231521956315872,-0.00151840983160134,0.00500035778477957,-0.00991258824918387,-0.0138236734740786,-0.0102788435222075,0.00579812289773038,0.00662186081575223,0.0130653236175157,-0.0107619328348451,-0.0102409958392776,0.0221726649549215,0.0301193971358274,0.0262926303387158,0.0144902072110424,0.01058327787934,0.022812805698992,0.0340344274175173,0.0371375452356821,0.0355048161671886,0.0247588571657549,0.0241681554911935,0.0303778481574534,0.0318961796594399,0.0302143322516408,0.0215850771158363,0.0210096540079216,-0.00408918291677191,1.57141290275003e-05,-0.00031798783158169,-0.0231962823398565,-0.00486186516362282,0.00774006458961712,-0.00733066026217498,0.0278891592851317,-0.0388297965292965
Giraffa_camelopardalis,1,-0.0052575714396274,-0.0149039301158604,-0.0147949688460748,-0.00346813837954774,-0.00341368280408061,0.002838654868833,-0.00152347949058118,-0.00339640095164044,-0.00219230573896085,-0.00399451768692439,-0.0084659138833464,-0.0101258581969667,-0.0129305391809972,-0.00725027614746703,-0.00724967575873078,0.0190120656061606,0.00331347313107803,-0.0220681061813336,0.0171141157064264,-0.00832041926198218,-0.0321589086813546,-0.0352795286083009,-0.0176668752532991,-0.000637720143996009,-0.00069317941769877,0.00651728514392122,0.02338138083136,0.0259610524722669,-0.0388261171027515,-0.0153223139511404,-0.00632167661761457,-0.024588098081489,-0.00640740728300238,-0.00576800031342693,-0.00790937487699722,-0.032957853045314,-0.0125729033060512,-0.00340425274666225,-0.00322405450634453,-0.00313395538618589,-0.0274045026187076,-0.0274045026187076,-0.01627272974977,NA,NA
Equus_zebra,1,0.00419184278556717,0.0041918427855665,0.00419184278556672,0.00419184278556695,0.0041918427855665,0.00419184278556672,0.00419184278556695,0.00419184278556672,0.0041918427855665,0.00419184278556695,0.00419184278556672,0.0209182238748701,0.02091822387487,0.0209182238748698,0.00391827904395263,0.0177298105957748,0.0177298105957749,0.0177298105957748,0.0177298105957749,0.0226243931517068,0.016121230150686,0.016121230150686,0.016121230150686,0.0777319147514043,0.0777319147514043,0.0367990484482386,0.0364797333359689,0.0364666834200718,0.0319449769837599,0.0309511973933421,0.029679064117289,0.0284711731899021,-0.0225443870589244,0.0156207417242604,0.0327369587576594,0.0299442457172969,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncerus_caffer,1,0.0389524779355131,0.0322951618690996,0.0227022429961401,0.00902913951265209,0.0459539608414355,0.020636547452028,-0.00312496408984849,0.00911570285593048,-0.00079020607004755,0.00289254138263224,-0.00516878608850581,-0.0043036647895491,-0.00657253856204482,-0.0132835434618,-0.00613541740970427,-0.01110418263636,0.0134333564764707,-0.00383342284167432,-0.0098791868606426,0.00309064265146247,-0.0121348348846997,-0.0156206568499603,-0.0212638640337298,-0.0221398180599519,-0.0220400666999889,-0.00506473465495905,-0.0177210444224739,0.0114299264294904,0.0395588662231724,0.0287991392254792,0.0148930251250201,0.0531220284169053,0.0384053065032604,0.0191118090637251,0.0107947803678305,-0.00626127682980661,-0.0308111542091235,-0.0282021741287919,-0.0281799598751738,0.00722892804194772,0.0612922912777084,0.0429857121445233,0.0308540049976074,NA,NA
Diceros_bicornis,1,-0.0607906692221679,-0.0507059489613459,-0.0189055382648767,-0.0947139606440678,-0.128569744604883,-0.0791657524853373,-0.0455215496775894,0.034697517872313,0.0345852949266412,0.0308233340800392,-0.0485720114600994,-0.0489399556973672,-0.0552083075672478,-0.0554689765610366,-0.056447277454743,-0.0541763896515918,-0.0536859441416883,-0.0787730418200323,-0.0335669192585129,-0.0323133129831104,-0.0654832208461701,-0.0874153527200612,-0.058401717532483,-0.0393875870501177,-0.0465571267595008,0.00572063261464528,0.0162614159524292,0.00047381333060171,-0.0295071798789234,0.0679340582844968,0.00200733434447092,0.0285363440299308,0.0174117379011699,-0.0724158811283026,0.08462442627021,0.0793686204834053,0.0412317455812298,-0.00708555583763953,0.0054425286213724,-0.0209946503827976,-0.0154211771941188,0.146001059841624,0.0337535347447206,0.0216145548476162,0.0599047665650464
Connochaetes_taurinus,1,0.0272093808713294,0.0285552231466371,0.0243696160367975,-0.0539419162103233,-0.0513933075700854,0.00730738828169753,0.00913276101850776,0.00721821664445651,0.0270785933711264,0.0303412947151398,0.0207935110222482,0.022909553090286,0.00226616975480486,-4.41580851807399e-05,-0.00154872054080157,-0.0218893506797335,-0.0662312104902012,-0.0215412884220756,0.038990992216895,-0.0171854522903083,-0.0315567284680912,-0.0254555145695278,-0.0261856358043689,-0.014144264209831,-0.0299725624074376,0.0492922542539424,-0.0204604913177769,0.00323819422157391,0.00110189406553395,0.0932881823855559,-0.0480641014296829,0.0295694939435639,-0.0871230726350777,0.055283870722356,0.116706938818082,0.0765782098369243,0.233369512285974,0.189800517664579,0.18980051766458,0.189800517664579,0.189800517664579,0.18980051766458,NA,NA,NA
Redunca_redunca,1,0.00480316949422694,-0.0167756788663868,-0.0511852930597808,-0.0794196196668723,-0.0857098416046709,-0.0695554490995558,0.0199831595941589,0.00533857827117359,0.0117223530007103,0.00990289662858639,-0.000888207196607189,-0.0143355467390851,-0.0500886101370392,-0.0373295434596413,-0.0219290023703355,-0.0137247662399834,-0.00551160921185739,-0.032803844909042,-0.0609194745736655,-0.0761838236551434,-0.0512510775677012,-0.0379593827624934,0.00776908579677232,-0.0366356472451159,0.0923474230987145,-0.0361482830707602,0.0463218097557726,0.0188782781606422,-0.0419284131544625,0.0472810471145855,0.0674696575970587,-0.024485988726759,-0.0244859887267592,-0.0244859887267588,-0.0202941286874416,-0.0202941286874414,-0.0202941286874416,-0.0119104086088067,NA,NA,-0.141989577424094,-0.141989577424094,-0.141989577424094,NA,NA
Hippopotamus_amphibius,1,0.00531892828966951,0.00531892828966951,-0.05110127407969,-0.0511012740796898,-0.057258787102681,0.0479427207704379,-0.0272162681930433,-0.0577950743888812,-0.0353551049948623,-0.050483969064896,-0.0504839690648954,-0.00993729447205993,-0.0409694669916796,-0.0592146314902695,-0.0592146314902697,-0.05921463149027,-0.0592146314902696,-0.0592146314902696,-0.0592146314902695,-0.0959575097602697,-0.0959575097602696,-0.0959575097602697,-0.0959575097602697,-0.0959575097602696,0.034982904518751,0.034982904518751,0.0349829045187512,0.034982904518751,0.0349829045187511,0.0349829045187511,0.034982904518751,0.0349829045187511,0.0349829045187511,0.163178187294765,-0.00555564230504935,-0.00555564230504935,-0.00555564230504935,-0.00555564230504935,-0.00555564230504935,-0.00555564230504935,-0.00555564230504935,-0.00555564230504935,NA,NA,NA
Phacochoerus_aethiopicus,1,0.00352216897781066,0.0040430451092579,0.00547716823323235,0.0231418929887859,0.0265631720726274,0.0314535419714382,0.0363997969312387,0.0431761446234039,0.0505335870591472,0.0571847192072905,0.06163952706354,0.0742653202514515,0.0738855531642075,0.0405231552610875,0.0325401089135918,-0.0298968496658712,0.0137620089557246,0.0104045079560901,0.00824771180382733,-0.132342573920729,0.0544891554905891,0.0560128476443515,-0.0150307197496011,-0.00976154383635208,0.0545824962925625,0.0570061551339558,0.0167478571491548,0.0179530470315763,0.00787810368431474,0.00902428273902478,0.0107940509110214,0.0132015625949315,0.0156487634662383,0.0174552362899227,0.0183099611292667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kobus_ellipsiprymnus,1,0.0197574975357071,0.00728137507669307,-0.0160784188117954,-0.0136576876310447,-0.0155187467577719,-0.00917875159483638,-0.00956895344132547,0.00482744395014918,0.00490070370073849,0.00349768653326388,-0.0132446363443472,-0.0123135265280426,-0.0173661192284946,-0.0538213255531328,-0.058922345609108,-0.0071543430212579,-0.00596482127634166,-0.00928548064979974,-0.0773203687177336,-0.0147660828977844,-0.0300560699310513,-0.0495671630489252,-0.0225206075909486,-0.0339801302699829,-0.0180922233473564,0.00913510783151468,0.0153242660999255,0.00542010359887545,0.0460384493401512,0.0522183504630396,0.00749204670231822,0.0118626292263431,0.0125185625317975,-0.00906862992825608,0.0108343718427996,0.0224501709965497,0.0546568448730076,0.101527037806119,0.115219987143318,0.0609971991422403,-0.0020082114971917,-0.00376345705244145,-0.14969751037314,NA,NA
Tragelaphus_scriptus,1,-0.0530533045707801,-0.0542383960100483,-0.055148442566843,-0.0533248300026642,-0.0469462240450116,-0.0758966195202369,-0.0628822624160806,-0.0840056328173323,-0.0711289210581115,-0.0501267057936254,-0.0353458130163292,-0.0222129554497655,-0.0221483923683754,-0.0232502287930224,-0.0186745965978553,-0.00795235530729536,0.00990634600355276,0.020701799626211,0.00195424780563672,0.00207235409610284,-0.00143455773807209,0.030729209269698,0.0234330254850648,0.00301943000304568,-0.0167721764796501,-0.0362191485105581,-0.0294933585432412,-0.0496509157463709,0.0569331582699794,0.0609348074647818,0.0312636755845228,0.0717043519801106,0.0813868761548577,0.0607031688011414,0.090616730148327,-0.0212994760869202,0.00177461878573422,0.0160322189379154,NA,NA,0.100343331887994,0.100343331887994,0.100343331887994,NA,NA
Papio_hamadryas,1,0.0102305044894759,0.0102305044894764,0.0102305044894764,0.0102305044894764,0.0102305044894759,0,0.00915149811213523,0.00915149811213523,0.00915149811213478,0.00915149811213523,0.00915149811213478,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equus_burchellii,1,0.00157888359642008,0.000918265771412471,0.00151578574573971,-0.0159623121965653,-0.01487889732206,-0.0254869189894679,-0.0186179741293371,-0.00124217399632095,0.0259612096023785,0.024785816107073,0.0167514980123912,0.0207994369829034,0.0217630056527141,0.0122139493997215,0.00721283723580329,-0.000293398212356426,-0.00122599326808773,0.0252923490356214,0.0223138810954083,-0.0414630454592544,-0.0991690890919727,-0.0351710743540625,-0.0194084388613438,-0.0122063783813236,0.0110218761044891,0.017256233383962,0.00087848886639655,0.000769727421576865,0.010432611730376,0.0311508439036324,0.0251770390534647,-0.00433097214473722,0.00701187574833599,-0.0160115424566165,0.0224311571720651,0.0359960250467131,-0.00253883754915381,0.0689789408177939,0.0711142805107432,0.0721819503572179,NA,NA,NA,NA,NA
Aepyceros_melampus,1,0.0318474812628415,0.0312581626546906,0.0259333563228734,0.0107866859925229,0.0061547633799833,2.9066428712971e-05,-0.0179103120620022,-0.0118029690592832,-0.00755537218890223,-0.00303156526862762,0.00271809604671453,-0.0215477994954352,-0.027123190209285,-0.0346944496051222,-0.0146700335723782,-0.00163066919906809,0.00356521122822925,-8.30665647850425e-05,0.051897849778668,-0.00219599266659477,-0.0512650660925595,-0.0301313359437274,-0.0318884886079986,0.00911712056641962,0.0208489406283193,0.0148089768316278,0.0100465331944951,-0.027509956972701,-0.00865408807981489,0.0669807770861625,0.016018398375427,0.0405715790120841,-0.0042724831437105,-0.0131294544934598,0.0128512943854547,0.033944624596372,0.0461861023215262,0.0909088024370597,0.0944464903159101,0.0962153342553389,NA,NA,NA,NA,NA
Ceratotherium_simum,1,0.0514868775159384,0.0767795585771046,0.0850391745383178,0.0736571809561393,0.068817187443562,0.0623968394603891,0.0329557657135169,0.0306253640416742,0.0324998252455322,0.0313903113133935,0.0227035571175379,-0.00496607733528766,0.00161958298170709,0.0456779462408067,-0.0027024763681911,-0.00573077790693292,-0.00308701588637489,-0.0319519524356786,-0.0296577041225747,-0.028333479756033,-0.0270229751206231,0.0512542360565124,0.0425465966794964,0.013115849115438,0.0101538254232853,0.013982821754014,0.0207244531104713,0.0122811815915099,0.0109649820681912,0.00541749801223124,0.0346580342908012,-0.00319656944977886,0.00827751122969297,-0.0368766524760763,-0.0538948288073769,-0.00490897110482551,-0.0153701698059251,-0.0245562822546197,-0.00707503879984683,-0.0130329835868137,-0.0210844231784764,0.00516460012870756,-0.00562417118056913,0.0224545939367686,0.0599607253316952
