"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 0.943832373377451 0.943832373377451 0.943832373377451
"1972" 0.918620773385158 0.918620773385158 0.918620773385158
"1973" 0.884269316428695 0.884269316428695 0.884269316428695
"1974" 0.882641371184254 0.882641371184254 0.882641371184254
"1975" 0.881016422997011 0.881016422997011 0.881016422997011
"1976" 0.845438924761408 0.845438924761408 0.845438924761408
"1977" 0.811298128893281 0.811298128893281 0.811298128893281
"1978" 0.778536017999751 0.778536017999751 0.778536017999751
"1979" 0.7470969175656 0.7470969175656 0.7470969175656
"1980" 0.7169274013424 0.7169274013424 0.7169274013424
"1981" 0.699216249739763 0.699216249739763 0.699216249739763
"1982" 0.681942638800943 0.681942638800943 0.681942638800943
"1983" 0.665095759413309 0.665095759413309 0.665095759413309
"1984" 0.648665069495217 0.648665069495217 0.648665069495217
"1985" 0.637848018640535 0.637848018640535 0.637848018640535
"1986" 0.600440316787754 0.600440316787754 0.600440316787754
"1987" 0.570069208804825 0.570069208804825 0.570069208804825
"1988" 0.541294568905107 0.541294568905107 0.541294568905107
"1989" 0.483194093585148 0.483194093585148 0.483194093585148
"1990" 0.61462165319502 0.61462165319502 0.61462165319502
"1991" 0.607806973843944 0.607806973843944 0.607806973843944
"1992" 0.601335830988895 0.601335830988895 0.601335830988895
"1993" 0.595474657933224 0.594616784002167 0.596333769548284
"1994" 0.58508583278577 0.580536699680569 0.589670613270405
"1995" 0.552291550510753 0.529760796399402 0.57713004452826
"1996" 0.658259243374591 0.507794701723956 0.861749604721269
"1997" 0.625075894099647 0.483706544194158 0.819488752613908
"1998" 0.593657966014371 0.45716198899911 0.787608621864098
"1999" 0.555510901701396 0.422369741270882 0.732901687789895
"2000" 0.537972160225259 0.394037025275246 0.735145493375694
"2001" 0.446976253366092 0.280515004140403 0.745089567409549
"2002" 0.371419802268302 0.197992013136593 0.665992016913692
"2003" 0.350538961846834 0.18686110518343 0.628550628645705
"2004" 0.325453075594715 0.173488621836986 0.583569182101702
"2005" 0.294615906108833 0.15705031340901 0.52827512245171
"2006" 0.218546956106161 0.116500389963258 0.391876058300061
"2007" 0.226732888871327 0.120864048814181 0.406554236036677
"2008" 0.239381813110832 0.127606785628151 0.429234993806214
"2009" 0.252748494503078 0.134732135815846 0.453202760321349
"2010" 0.357021416002106 0.190316694089648 0.640174302696076
"2011" 0.316218968459008 0.168566214765117 0.567011525245096
"2012" 0.312818764497083 0.166753674821406 0.560914627124182
"2013" -99 NA NA
"2014" -99 NA NA
"2015" -99 NA NA
"2016" -99 NA NA
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
