"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Copadichromis_quadrimaculatus","Copadichromis_quadrimaculatus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0540969030941626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Copadichromis_virginalis","Copadichromis_virginalis",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0473081276917924,0.0473081276917922,0.0473081276917922,0.0473081276917922,0.0473081276917924,0.0473081276917922,0.0473081276917924,0.0473081276917922,0.0473081276917922,0.0473081276917924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coptodon_rendalli","Coptodon_rendalli",38,1,0.0707970191752947,0.0782274244461006,-0.0194052863427207,0.412089223472844,0.108616734085393,0.0480327874183245,-0.0273960746345638,-0.082175918099163,-0.0908659496966232,-0.0573623154420191,-0.00928528268803424,0.0265113114125196,0.0418844393051255,0.0438498785430127,0.0400469899744513,0.0315000749372913,0.0157109022993774,-0.00954215540036274,-0.045543653018545,-0.089931582142795,-0.132118975340879,-0.156965053279585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenopharynx_intermedius","Ctenopharynx_intermedius",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0243038048686295,0.0243038048686293,0.0243038048686295,0.0243038048686295,0.0243038048686295,0.0243038048686295,0.0243038048686293,0.0243038048686295,0.0243038048686295,0.0243038048686295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyphomyrus_discorhynchus","Cyphomyrus_discorhynchus",25,1,0.328996714614597,0.271534049201151,-0.10568250711454,-0.0419075508689211,-0.156848515004134,-0.0505433647991831,0.03038761302949,0.058356698520333,0.0320482224354719,-0.0175527139997729,-0.0596273973224051,-0.0815313043237031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprinus_carpio","Cyprinus_carpio",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.182211033980241,-0.18221103398024,-0.18221103398024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxodon_limnothrissa","Diplotaxodon_limnothrissa",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0594234653816006,-0.0594234653816006,-0.0594234653816006,-0.0594234653816006,-0.0594234653816006,-0.0594234653816006,-0.0594234653816006,-0.0594234653816006,-0.0594234653816006,-0.0594234653816006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distichodus_mossambicus","Distichodus_mossambicus",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distichodus_schenga","Distichodus_schenga",16,1,-0.129184174351913,-0.00836834870382663,0.0435750878594502,0.306725197908006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elops_machnata","Elops_machnata",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0631096813991956,-0.0570246343978407,-0.0435795407094055,-0.022534188665833,0.00379329934599149,0.0289921155337489,0.0440709362323224,0.0433498280427989,0.0301571151776616,0.015692406718987,0.0102632186795426,0.0146179037816165,0.0205583554682791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
